"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-07-14"
"Position","Track Name","Artist","Streams","URL","2018-07-14"
"1","In My Feelings","Drake","9397012","https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns","2018-07-14"
"2","Don’t Matter To Me","Drake","4504146","https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB","2018-07-14"
"3","Girls Like You (feat. Cardi B)","Maroon 5","4119894","https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8","2018-07-14"
"4","I Like It","Cardi B","4050262","https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z","2018-07-14"
"5","Lucid Dreams","Juice WRLD","3753488","https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf","2018-07-14"
"6","SAD!","XXXTENTACION","3723946","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2018-07-14"
"7","Nonstop","Drake","3719976","https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX","2018-07-14"
"8","One Kiss (with Dua Lipa)","Calvin Harris","3620071","https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6","2018-07-14"
"9","Taste (feat. Offset)","Tyga","3614605","https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy","2018-07-14"
"10","God is a woman","Ariana Grande","3509265","https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ","2018-07-14"
"11","Solo (feat. Demi Lovato)","Clean Bandit","3453670","https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6","2018-07-14"
"12","Better Now","Post Malone","3444007","https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK","2018-07-14"
"13","Jackie Chan","Tiësto","3129791","https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp","2018-07-14"
"14","Ocean (feat. Khalid)","Martin Garrix","2834110","https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS","2018-07-14"
"15","Youngblood","5 Seconds of Summer","2804280","https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE","2018-07-14"
"16","Te Boté - Remix","Nio Garcia","2795618","https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i","2018-07-14"
"17","Nice For What","Drake","2728585","https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX","2018-07-14"
"18","God's Plan","Drake","2709613","https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9","2018-07-14"
"19","Moonlight","XXXTENTACION","2588495","https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL","2018-07-14"
"20","Rise","Jonas Blue","2453622","https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3","2018-07-14"
"21","no tears left to cry","Ariana Grande","2444228","https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9","2018-07-14"
"22","Summertime Magic","Childish Gambino","2437739","https://open.spotify.com/track/4j3GWI86JvSaF0BLdmgcfF","2018-07-14"
"23","Back To You","Selena Gomez","2410617","https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9","2018-07-14"
"24","Sin Pijama","Becky G","2318537","https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww","2018-07-14"
"25","I'm Upset","Drake","1998809","https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1","2018-07-14"
"26","Born To Be Yours","Kygo","1932355","https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM","2018-07-14"
"27","X","Nicky Jam","1932337","https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA","2018-07-14"
"28","Bed (feat. Ariana Grande)","Nicki Minaj","1928128","https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS","2018-07-14"
"29","changes","XXXTENTACION","1873604","https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO","2018-07-14"
"30","Nevermind","Dennis Lloyd","1868103","https://open.spotify.com/track/63SevszngYpZOwf63o61K4","2018-07-14"
"31","Jocelyn Flores","XXXTENTACION","1807832","https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96","2018-07-14"
"32","2002","Anne-Marie","1790348","https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB","2018-07-14"
"33","APESHIT","The Carters","1738326","https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj","2018-07-14"
"34","Psycho (feat. Ty Dolla $ign)","Post Malone","1728460","https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C","2018-07-14"
"35","X - Remix","Nicky Jam","1723850","https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw","2018-07-14"
"36","Body","Loud Luxury","1721053","https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r","2018-07-14"
"37","No Es Justo","J Balvin","1701875","https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7","2018-07-14"
"38","rockstar (feat. 21 Savage)","Post Malone","1674120","https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt","2018-07-14"
"39","Mob Ties","Drake","1630043","https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG","2018-07-14"
"40","Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky","1626677","https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z","2018-07-14"
"41","Yes Indeed","Lil Baby","1607387","https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ","2018-07-14"
"42","La Cintura","Alvaro Soler","1598142","https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H","2018-07-14"
"43","Flames","David Guetta","1596258","https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV","2018-07-14"
"44","FRIENDS","Marshmello","1584775","https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G","2018-07-14"
"45","Me Niego","Reik","1510120","https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T","2018-07-14"
"46","The Middle","Zedd","1471303","https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc","2018-07-14"
"47","Vaina Loca","Ozuna","1443303","https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ","2018-07-14"
"48","Mi Cama","Karol G","1431956","https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj","2018-07-14"
"49","Shape of You","Ed Sheeran","1407702","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2018-07-14"
"50","Look Alive (feat. Drake)","BlocBoy JB","1396051","https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL","2018-07-14"
"51","lovely (with Khalid)","Billie Eilish","1372739","https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4","2018-07-14"
"52","Eastside (with Halsey & Khalid)","benny blanco","1340793","https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao","2018-07-14"
"53","1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes","1324130","https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b","2018-07-14"
"54","IDGAF","Dua Lipa","1320500","https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr","2018-07-14"
"55","La Player (Bandolera)","Zion & Lennox","1302760","https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP","2018-07-14"
"56","Emotionless","Drake","1276776","https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n","2018-07-14"
"57","Dura - Remix","Daddy Yankee","1249202","https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb","2018-07-14"
"58","Unica","Ozuna","1241501","https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO","2018-07-14"
"59","Jumpsuit","Twenty One Pilots","1229870","https://open.spotify.com/track/6cQnrSlTxhHCCiUpKrs7g3","2018-07-14"
"60","Havana (feat. Young Thug)","Camila Cabello","1229714","https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W","2018-07-14"
"61","Fuck Love (feat. Trippie Redd)","XXXTENTACION","1197877","https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2","2018-07-14"
"62","Clandestino","Shakira","1187315","https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf","2018-07-14"
"63","Boo'd Up","Ella Mai","1177172","https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli","2018-07-14"
"64","All Mine","Kanye West","1144652","https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF","2018-07-14"
"65","New Rules","Dua Lipa","1135390","https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0","2018-07-14"
"66","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental","1133228","https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x","2018-07-14"
"67","Madura (feat. Bad Bunny)","Cosculluela","1121452","https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN","2018-07-14"
"68","Meant to Be (feat. Florida Georgia Line)","Bebe Rexha","1099332","https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e","2018-07-14"
"69","If You're Over Me","Years & Years","1093518","https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl","2018-07-14"
"70","Elevate","Drake","1068050","https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7","2018-07-14"
"71","This Is America","Childish Gambino","1065371","https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9","2018-07-14"
"72","Nico And The Niners","Twenty One Pilots","1059964","https://open.spotify.com/track/6ZIuit0z4eQg77F1RGkp0L","2018-07-14"
"73","Hopeless Romantic (feat. Swae Lee)","Wiz Khalifa","1041258","https://open.spotify.com/track/7IBSffWIu7P2MC7kMwy2FM","2018-07-14"
"74","Love Lies (with Normani)","Khalid","1037292","https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk","2018-07-14"
"75","Por Perro","Sebastian Yatra","1034569","https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ","2018-07-14"
"76","All Girls Are The Same","Juice WRLD","1029957","https://open.spotify.com/track/0XySogm94T51XF5F2jumXm","2018-07-14"
"77","Playinwitme (feat. Kehlani)","KYLE","1027228","https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr","2018-07-14"
"78","Can’t Take A Joke","Drake","994607","https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum","2018-07-14"
"79","Believer","Imagine Dragons","992946","https://open.spotify.com/track/5VKSZDsidOFHrtlJb33Syo","2018-07-14"
"80","Mine","Bazzi","988703","https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR","2018-07-14"
"81","High Hopes","Panic! At The Disco","983434","https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom","2018-07-14"
"82","In My Mind","Dynoro","982815","https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33","2018-07-14"
"83","Everybody Dies In Their Nightmares","XXXTENTACION","979196","https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7","2018-07-14"
