"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-12-02"
"Position","Track Name","Artist","Streams","URL","2018-12-02"
"1","thank u, next","Ariana Grande","6644376","https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH","2018-12-02"
"2","All I Want for Christmas Is You","Mariah Carey","4050744","https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn","2018-12-02"
"3","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","3909545","https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM","2018-12-02"
"4","MIA (feat. Drake)","Bad Bunny","2986114","https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO","2018-12-02"
"5","Last Christmas","Wham!","2818171","https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78","2018-12-02"
"6","Without Me","Halsey","2766943","https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C","2018-12-02"
"7","Santa Tell Me","Ariana Grande","2744790","https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb","2018-12-02"
"8","Happier","Marshmello","2618853","https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99","2018-12-02"
"9","ZEZE (feat. Travis Scott & Offset)","Kodak Black","2403688","https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA","2018-12-02"
"10","SICKO MODE","Travis Scott","2373984","https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h","2018-12-02"
"11","It's Beginning to Look a Lot Like Christmas","Michael Bublé","2331765","https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI","2018-12-02"
"12","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","2326520","https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8","2018-12-02"
"13","TIC TOC (feat. Lil Baby)","6ix9ine","2234069","https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk","2018-12-02"
"14","KIKA (feat. Tory Lanez)","6ix9ine","2185190","https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3","2018-12-02"
"15","Adan y Eva","Paulo Londra","2172294","https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk","2018-12-02"
"16","Jingle Bell Rock","Bobby Helms","2140910","https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya","2018-12-02"
"17","Mo Bamba","Sheck Wes","2133670","https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr","2018-12-02"
"18","Shallow","Lady Gaga","2078546","https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B","2018-12-02"
"19","Arms Around You (feat. Maluma & Swae Lee)","XXXTENTACION","2075077","https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh","2018-12-02"
"20","Bohemian Rhapsody - Remastered 2011","Queen","2074362","https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J","2018-12-02"
"21","Sweet but Psycho","Ava Max","2056220","https://open.spotify.com/track/25sgk305KZfyuqVBQIahim","2018-12-02"
"22","Rockin' Around The Christmas Tree","Brenda Lee","2037951","https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97","2018-12-02"
"23","Going Bad (feat. Drake)","Meek Mill","1973607","https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc","2018-12-02"
"24","when the party's over","Billie Eilish","1962315","https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI","2018-12-02"
"25","Do They Know It's Christmas? - 1984 Version","Band Aid","1864872","https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf","2018-12-02"
"26","It's the Most Wonderful Time of the Year","Andy Williams","1803392","https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN","2018-12-02"
"27","BEBE","6ix9ine","1741812","https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C","2018-12-02"
"28","Mistletoe","Justin Bieber","1726948","https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA","2018-12-02"
"29","Better","Khalid","1707079","https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ","2018-12-02"
"30","Drip Too Hard (Lil Baby & Gunna)","Lil Baby","1653373","https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE","2018-12-02"
"31","MAMA (feat. Nicki Minaj, Kanye West)","6ix9ine","1642528","https://open.spotify.com/track/1oJ8EDr2pv94IvSd6ZmDgo","2018-12-02"
"32","Lucid Dreams","Juice WRLD","1640752","https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf","2018-12-02"
"33","Girls Like You (feat. Cardi B)","Maroon 5","1628276","https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8","2018-12-02"
"34","Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson","1612440","https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF","2018-12-02"
"35","Eastside (with Halsey & Khalid)","benny blanco","1582169","https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao","2018-12-02"
"36","SAD!","XXXTENTACION","1549417","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2018-12-02"
"37","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra","1547922","https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM","2018-12-02"
"38","Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding","1536298","https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA","2018-12-02"
