"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-05-23"
"Position","Track Name","Artist","Streams","URL","2018-05-23"
"1","Better Now","Post Malone","4620076","https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK","2018-05-23"
"2","One Kiss (with Dua Lipa)","Calvin Harris","4071111","https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6","2018-05-23"
"3","This Is America","Childish Gambino","3940430","https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9","2018-05-23"
"4","Nice For What","Drake","3940078","https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN","2018-05-23"
"5","no tears left to cry","Ariana Grande","3497175","https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9","2018-05-23"
"6","God's Plan","Drake","3384000","https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY","2018-05-23"
"7","Psycho (feat. Ty Dolla $ign)","Post Malone","2982062","https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C","2018-05-23"
"8","X","Nicky Jam","2798540","https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA","2018-05-23"
"9","I Like It","Cardi B","2777730","https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z","2018-05-23"
"10","FRIENDS","Marshmello","2763405","https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G","2018-05-23"
"11","Te Boté - Remix","Nio Garcia","2754321","https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i","2018-05-23"
"12","Back To You","Selena Gomez","2683016","https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9","2018-05-23"
"13","Yes Indeed","Lil Baby","2458243","https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ","2018-05-23"
"14","Love Lies (with Normani)","Khalid","2424324","https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk","2018-05-23"
"15","The Middle","Zedd","2379233","https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m","2018-05-23"
"16","rockstar (feat. 21 Savage)","Post Malone","2294385","https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt","2018-05-23"
"17","Nevermind","Dennis Lloyd","2149334","https://open.spotify.com/track/63SevszngYpZOwf63o61K4","2018-05-23"
"18","Look Alive (feat. Drake)","BlocBoy JB","2045070","https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL","2018-05-23"
"19","Freaky Friday (feat. Chris Brown)","Lil Dicky","2037603","https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ","2018-05-23"
"20","Flames","David Guetta","1985575","https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV","2018-05-23"
"21","FAKE LOVE","BTS","1978046","https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo","2018-05-23"
"22","IDGAF","Dua Lipa","1972758","https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr","2018-05-23"
"23","Call Out My Name","The Weeknd","1955524","https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N","2018-05-23"
"24","Youngblood","5 Seconds of Summer","1910990","https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw","2018-05-23"
"25","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental","1850839","https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x","2018-05-23"
"26","OTW","Khalid","1833665","https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI","2018-05-23"
"27","Playinwitme (feat. Kehlani)","KYLE","1822546","https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr","2018-05-23"
"28","Solo (feat. Demi Lovato)","Clean Bandit","1784408","https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6","2018-05-23"
"29","Paranoid","Post Malone","1782338","https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq","2018-05-23"
"30","In My Blood","Shawn Mendes","1756629","https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K","2018-05-23"
"31","Lucid Dreams","Juice WRLD","1732771","https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc","2018-05-23"
"32","Remind Me to Forget","Kygo","1713328","https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80","2018-05-23"
"33","Me Niego","Reik","1678806","https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T","2018-05-23"
"34","Meant to Be (feat. Florida Georgia Line)","Bebe Rexha","1652942","https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn","2018-05-23"
"35","Youth (feat. Khalid)","Shawn Mendes","1630568","https://open.spotify.com/track/3Wf2YGdYT8xVdNsQSoRKk9","2018-05-23"
"36","2002","Anne-Marie","1569303","https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB","2018-05-23"
"37","SAD!","XXXTENTACION","1564652","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2018-05-23"
"38","Walk It Talk It","Migos","1559975","https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP","2018-05-23"
"39","lovely (with Khalid)","Billie Eilish","1554258","https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4","2018-05-23"
"40","Ball For Me (feat. Nicki Minaj)","Post Malone","1518941","https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa","2018-05-23"
"41","All The Stars (with SZA)","Kendrick Lamar","1489231","https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s","2018-05-23"
"42","Plug Walk","Rich The Kid","1479994","https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ","2018-05-23"
"43","Havana (feat. Young Thug)","Camila Cabello","1457499","https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W","2018-05-23"
"44","Mine","Bazzi","1431857","https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR","2018-05-23"
"45","Spoil My Night (feat. Swae Lee)","Post Malone","1406566","https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv","2018-05-23"
"46","1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes","1390646","https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b","2018-05-23"
"47","Stay","Post Malone","1366663","https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc","2018-05-23"
"48","Like I Do","David Guetta","1340686","https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ","2018-05-23"
"49","Shape of You","Ed Sheeran","1324640","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2018-05-23"
"50","Sin Pijama","Becky G","1312497","https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww","2018-05-23"
"51","Sangria Wine","Pharrell Williams","1310678","https://open.spotify.com/track/6XlSyYFTU1nodeWwwzVgTV","2018-05-23"
"52","New Rules","Dua Lipa","1284659","https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0","2018-05-23"
"53","Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd","1235307","https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci","2018-05-23"
"54","Ric Flair Drip (& Metro Boomin)","Offset","1192986","https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR","2018-05-23"
"55","Dura - Remix","Daddy Yankee","1187793","https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb","2018-05-23"
"56","Watch (feat. Lil Uzi Vert & Kanye West)","Travis Scott","1174507","https://open.spotify.com/track/3DoBTwfr8yi2LN08SBpFkN","2018-05-23"
"57","Somebody","The Chainsmokers","1168200","https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl","2018-05-23"
"58","Rich & Sad","Post Malone","1162897","https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc","2018-05-23"
"59","El Préstamo","Maluma","1144913","https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz","2018-05-23"
"60","Dura","Daddy Yankee","1127795","https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc","2018-05-23"
"61","KOD","J. Cole","1116306","https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI","2018-05-23"
"62","JAPAN","Famous Dex","1111428","https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl","2018-05-23"
"63","Candy Paint","Post Malone","1102958","https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC","2018-05-23"
"64","Síguelo Bailando","Ozuna","1099852","https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz","2018-05-23"
"65","Familiar","Liam Payne","1099270","https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A","2018-05-23"
"66","I Fall Apart","Post Malone","1074161","https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh","2018-05-23"
"67","Perfect","Ed Sheeran","1069268","https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v","2018-05-23"
"68","La Player (Bandolera)","Zion & Lennox","1067779","https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP","2018-05-23"
"69","Jackie Chan","Tiësto","1045381","https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp","2018-05-23"
"70","All Girls Are The Same","Juice WRLD","1033366","https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8","2018-05-23"
"71","Girls (feat. Cardi B, Bebe Rexha & Charli XCX)","Rita Ora","1032714","https://open.spotify.com/track/1YNQscOx6OqBQjxgJVhEeW","2018-05-23"
"72","Let Me","ZAYN","1028686","https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC","2018-05-23"
"73","Échame La Culpa","Luis Fonsi","1024851","https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK","2018-05-23"
"74","Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2","Diplo","1019552","https://open.spotify.com/track/5mqzhMuUpvnMfwNz6iepmO","2018-05-23"
"75","Done for Me (feat. Kehlani)","Charlie Puth","1017897","https://open.spotify.com/track/1lsBTdE6MGsKeZCD6llNu7","2018-05-23"
"76","Over Now","Post Malone","1005097","https://open.spotify.com/track/09IOPhEh1OMe0HD9b36FJk","2018-05-23"
"77","Mad Love","Sean Paul","994014","https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf","2018-05-23"
"78","Believer","Imagine Dragons","939306","https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4","2018-05-23"
"79","Déjala que vuelva (feat. Manuel Turizo)","Piso 21","934801","https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G","2018-05-23"
"80","Shoota (feat. Lil Uzi Vert)","Playboi Carti","933728","https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i","2018-05-23"
"81","Thunder","Imagine Dragons","928185","https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn","2018-05-23"
"82","XO TOUR Llif3","Lil Uzi Vert","924586","https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO","2018-05-23"
"83","Te Amo","Piso 21","919833","https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH","2018-05-23"
"84","1950","King Princess","916748","https://open.spotify.com/track/0CZ8lquoTX2Dkg7Ak2inwA","2018-05-23"
"85","Bella - Remix","Wolfine","914618","https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56","2018-05-23"
"86","92 Explorer","Post Malone","908872","https://open.spotify.com/track/1D2L6MefbXon28PzIk9I3r","2018-05-23"
"87","Never Be the Same","Camila Cabello","903987","https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ","2018-05-23"
"88","Madura (feat. Bad Bunny)","Cosculluela","897475","https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN","2018-05-23"
"89","Chun-Li","Nicki Minaj","894897","https://open.spotify.com/track/2gTYVoQCUh0QNUaFix01ld","2018-05-23"
"90","I Wanna Know (feat. Bea Miller)","NOTD","892666","https://open.spotify.com/track/18W92Zm1KjLCbUIszOhpkD","2018-05-23"
"91","Zack And Codeine","Post Malone","892065","https://open.spotify.com/track/5lZZmityu9TAjNvSY6GLhR","2018-05-23"
"92","I'll Be There","Jess Glynne","889118","https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn","2018-05-23"
"93","Wake Me Up - Radio Edit","Avicii","888805","https://open.spotify.com/track/6g1NlCpW7fgqDnWbCCDrHl","2018-05-23"
"94","Wolves","Selena Gomez","883606","https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC","2018-05-23"
"95","Happier","Ed Sheeran","879055","https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB","2018-05-23"
"96","The Truth Untold","BTS","873152","https://open.spotify.com/track/48XfojJC87VKLlUotYV0Gm","2018-05-23"
"97","Same Bitches (feat. G-Eazy & YG)","Post Malone","871735","https://open.spotify.com/track/688QpQAwqsLdBR6lr13wK1","2018-05-23"
"98","Say Something","Justin Timberlake","865710","https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS","2018-05-23"
"99","Por Perro","Sebastian Yatra","853531","https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ","2018-05-23"
"100","Be Careful","Cardi B","850371","https://open.spotify.com/track/2Yl4OmDby9iitgNWZPwxkd","2018-05-23"
"101","Corazón (feat. Nego do Borel)","Maluma","846491","https://open.spotify.com/track/5cepAtqnEQ6yVG6088zMMu","2018-05-23"
"102","HUMBLE.","Kendrick Lamar","839352","https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS","2018-05-23"
"103","Silence","Marshmello","838934","https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU","2018-05-23"
"104","Genius","Sia","836640","https://open.spotify.com/track/73F87Sqh6jQWucOOvz1WFx","2018-05-23"
"105","Too Good At Goodbyes","Sam Smith","834851","https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV","2018-05-23"
"106","Feel It Still","Portugal. The Man","833938","https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK","2018-05-23"
"107","Delicate","Taylor Swift","828401","https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf","2018-05-23"
"108","Criminal","Natti Natasha","826004","https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C","2018-05-23"
"109","Dembow","Danny Ocean","824340","https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2","2018-05-23"
"110","Takin' Shots","Post Malone","823006","https://open.spotify.com/track/5ffntNJnJOeFv7b7DCd0Bw","2018-05-23"
"111","King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock","818620","https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH","2018-05-23"
"112","Congratulations","Post Malone","816181","https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9","2018-05-23"
"113","Esskeetit","Lil Pump","809870","https://open.spotify.com/track/44KKhCyI0BGS6LvVyDqJtH","2018-05-23"
"114","Jocelyn Flores","XXXTENTACION","794317","https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96","2018-05-23"
"115","Pray For Me (with Kendrick Lamar)","The Weeknd","786206","https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x","2018-05-23"
"116","Without You (feat. Sandro Cavazza)","Avicii","780605","https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE","2018-05-23"
"117","Finesse - Remix; feat. Cardi B","Bruno Mars","779317","https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i","2018-05-23"
"118","Young Dumb & Broke","Khalid","772537","https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY","2018-05-23"
"119","Moonlight","XXXTENTACION","767541","https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL","2018-05-23"
"120","Say You Won't Let Go","James Arthur","757118","https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh","2018-05-23"
"121","Nervous","Shawn Mendes","754486","https://open.spotify.com/track/3ltYJpvukgAb9hLpCLoDOm","2018-05-23"
"122","Taste (feat. Offset)","Tyga","748149","https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy","2018-05-23"
"123","Downtown","Anitta","734546","https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D","2018-05-23"
"124","Airplane pt.2","BTS","728704","https://open.spotify.com/track/1trFxVLL8WKhYap543e74l","2018-05-23"
"125","Where Were You In The Morning?","Shawn Mendes","727361","https://open.spotify.com/track/5cuRYDNIcSu5noyXQpULKg","2018-05-23"
"126","Let You Down","NF","721726","https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr","2018-05-23"
"127","Amorfoda","Bad Bunny","721240","https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF","2018-05-23"
"128","River (feat. Ed Sheeran)","Eminem","718210","https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD","2018-05-23"
"129","Otherside","Post Malone","705345","https://open.spotify.com/track/4qWCFTuNnmGNdY4egtb4ZY","2018-05-23"
"130","Stir Fry","Migos","699285","https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf","2018-05-23"
"131","One Dance","Drake","697984","https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3","2018-05-23"
"132","Everyday","Logic","697871","https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk","2018-05-23"
"133","Dusk Till Dawn - Radio Edit","ZAYN","697803","https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv","2018-05-23"
"134","Unforgettable","French Montana","695110","https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe","2018-05-23"
"135","Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran","690191","https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI","2018-05-23"
"136","Answerphone (feat. Yxng Bane)","Banx & Ranx","689298","https://open.spotify.com/track/1HagMz5nWk1HmevNCBOxF3","2018-05-23"
"137","Sensualidad","Bad Bunny","689052","https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw","2018-05-23"
"138","Attention","Charlie Puth","688443","https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50","2018-05-23"
"139","The Night We Met","Lord Huron","687382","https://open.spotify.com/track/24MGEzm6xAO1nFgVVp37YI","2018-05-23"
"140","Bella","Wolfine","684268","https://open.spotify.com/track/3xcCix7Jv1Rp90YVmgo35D","2018-05-23"
