"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-10-01"
"Position","Track Name","Artist","Streams","URL","2018-10-01"
"1","I Love It (& Lil Pump)","Kanye West","4137192","https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ","2018-10-01"
"2","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","4072897","https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM","2018-10-01"
"3","Happier","Marshmello","3794770","https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99","2018-10-01"
"4","Mona Lisa (feat. Kendrick Lamar)","Lil Wayne","3597191","https://open.spotify.com/track/0dbTQYW3Ad1FTzIA9t90E8","2018-10-01"
"5","Falling Down - Bonus Track","Lil Peep","3509916","https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q","2018-10-01"
"6","Eastside (with Halsey & Khalid)","benny blanco","2955135","https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao","2018-10-01"
"7","Promises (with Sam Smith)","Calvin Harris","2938398","https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg","2018-10-01"
"8","Don't Cry (feat. XXXTENTACION)","Lil Wayne","2750278","https://open.spotify.com/track/5BQrp63SHCVf4bzCzJePne","2018-10-01"
"9","In My Mind","Dynoro","2746288","https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33","2018-10-01"
"10","In My Feelings","Drake","2624572","https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ","2018-10-01"
"11","SICKO MODE","Travis Scott","2492502","https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h","2018-10-01"
"12","Lucid Dreams","Juice WRLD","2418007","https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf","2018-10-01"
"13","Better","Khalid","2336665","https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J","2018-10-01"
"14","Lucky You (feat. Joyner Lucas)","Eminem","2304759","https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0","2018-10-01"
"15","Be Alright","Dean Lewis","2289741","https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm","2018-10-01"
"16","Let It Fly (feat. Travis Scott)","Lil Wayne","2227931","https://open.spotify.com/track/0CBQ0m3mufWH75LTYB3s6h","2018-10-01"
"17","Girls Like You (feat. Cardi B)","Maroon 5","2225510","https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8","2018-10-01"
"18","Electricity (with Dua Lipa)","Silk City","2200627","https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk","2018-10-01"
"19","SAD!","XXXTENTACION","2106991","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2018-10-01"
"20","Uproar","Lil Wayne","2102640","https://open.spotify.com/track/3wScL5W8H40zzCKN0atfBk","2018-10-01"
