"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-08-01"
"Position","Track Name","Artist","Streams","URL","2018-08-01"
"1","In My Feelings","Drake","8083074","https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ","2018-08-01"
"2","FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine","4500211","https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB","2018-08-01"
"3","No Brainer","DJ Khaled","4223112","https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8","2018-08-01"
"4","Girls Like You (feat. Cardi B)","Maroon 5","3858267","https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8","2018-08-01"
"5","I Like It","Cardi B","3614061","https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z","2018-08-01"
"6","Lucid Dreams","Juice WRLD","3400737","https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf","2018-08-01"
"7","Taste (feat. Offset)","Tyga","3272220","https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy","2018-08-01"
"8","Solo (feat. Demi Lovato)","Clean Bandit","3158869","https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6","2018-08-01"
"9","SAD!","XXXTENTACION","3134609","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2018-08-01"
"10","God is a woman","Ariana Grande","3071507","https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ","2018-08-01"
"11","Eastside (with Halsey & Khalid)","benny blanco","2947184","https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao","2018-08-01"
"12","Rise","Jonas Blue","2894914","https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3","2018-08-01"
"13","Better Now","Post Malone","2877017","https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK","2018-08-01"
"14","Jackie Chan","Tiësto","2868460","https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp","2018-08-01"
"15","One Kiss (with Dua Lipa)","Calvin Harris","2737804","https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6","2018-08-01"
"16","Youngblood","5 Seconds of Summer","2634645","https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE","2018-08-01"
"17","Te Boté - Remix","Nio Garcia","2369176","https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i","2018-08-01"
"18","In My Mind","Dynoro","2266804","https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33","2018-08-01"
"19","Moonlight","XXXTENTACION","2258214","https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL","2018-08-01"
"20","Don’t Matter To Me (with Michael Jackson)","Drake","2173620","https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0","2018-08-01"
"21","Nonstop","Drake","2134846","https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct","2018-08-01"
"22","Body","Loud Luxury","2117986","https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r","2018-08-01"
"23","Sin Pijama","Becky G","2087572","https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww","2018-08-01"
"24","God's Plan","Drake","2061322","https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn","2018-08-01"
"25","Ocean (feat. Khalid)","Martin Garrix","2044609","https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS","2018-08-01"
"26","Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez","1968894","https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW","2018-08-01"
"27","Born To Be Yours","Kygo","1892959","https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM","2018-08-01"
"28","Nice For What","Drake","1861817","https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw","2018-08-01"
"29","2002","Anne-Marie","1846164","https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB","2018-08-01"
"30","No Es Justo","J Balvin","1759668","https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7","2018-08-01"
"31","Vaina Loca","Ozuna","1748534","https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ","2018-08-01"
"32","no tears left to cry","Ariana Grande","1676558","https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9","2018-08-01"
"33","Nevermind","Dennis Lloyd","1676005","https://open.spotify.com/track/63SevszngYpZOwf63o61K4","2018-08-01"
"34","Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky","1648572","https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z","2018-08-01"
"35","Jocelyn Flores","XXXTENTACION","1646615","https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96","2018-08-01"
"36","changes","XXXTENTACION","1624545","https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO","2018-08-01"
"37","Psycho (feat. Ty Dolla $ign)","Post Malone","1594418","https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C","2018-08-01"
"38","rockstar (feat. 21 Savage)","Post Malone","1567060","https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt","2018-08-01"
"39","Happy Now","Zedd","1487666","https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa","2018-08-01"
"40","Clandestino","Shakira","1485223","https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf","2018-08-01"
"41","X - Remix","Nicky Jam","1454744","https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw","2018-08-01"
"42","FRIENDS","Marshmello","1398744","https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G","2018-08-01"
"43","X","Nicky Jam","1373699","https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA","2018-08-01"
"44","The Middle","Zedd","1353725","https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc","2018-08-01"
"45","Yes Indeed","Lil Baby","1339333","https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ","2018-08-01"
"46","Flames","David Guetta","1333639","https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV","2018-08-01"
"47","Bed (feat. Ariana Grande)","Nicki Minaj","1289994","https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS","2018-08-01"
"48","Shape of You","Ed Sheeran","1289171","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2018-08-01"
"49","Me Niego","Reik","1261497","https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T","2018-08-01"
"50","lovely (with Khalid)","Billie Eilish","1247828","https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4","2018-08-01"
"51","Shotgun","George Ezra","1218705","https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC","2018-08-01"
"52","La Cintura","Alvaro Soler","1213058","https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H","2018-08-01"
"53","High Hopes","Panic! At The Disco","1199394","https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom","2018-08-01"
"54","I'm Upset","Drake","1186392","https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT","2018-08-01"
"55","Fuck Love (feat. Trippie Redd)","XXXTENTACION","1177826","https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2","2018-08-01"
"56","Natural","Imagine Dragons","1159144","https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP","2018-08-01"
"57","IDGAF","Dua Lipa","1149368","https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr","2018-08-01"
"58","1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes","1114981","https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b","2018-08-01"
"59","SWISH","Tyga","1110687","https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD","2018-08-01"
"60","Look Alive (feat. Drake)","BlocBoy JB","1109853","https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL","2018-08-01"
"61","Havana (feat. Young Thug)","Camila Cabello","1100061","https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W","2018-08-01"
"62","Summertime Magic","Childish Gambino","1093116","https://open.spotify.com/track/4j3GWI86JvSaF0BLdmgcfF","2018-08-01"
"63","I'm a Mess","Bebe Rexha","1092119","https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R","2018-08-01"
