"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-10-12"
"Position","Track Name","Artist","Streams","URL","2018-10-12"
"1","MIA (feat. Drake)","Bad Bunny","6592787","https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO","2018-10-12"
"2","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","5878835","https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM","2018-10-12"
"3","Happier","Marshmello","4156480","https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99","2018-10-12"
"4","I Love It (& Lil Pump)","Kanye West","3458114","https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ","2018-10-12"
"5","ZEZE (feat. Travis Scott & Offset)","Kodak Black","3291762","https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA","2018-10-12"
"6","Promises (with Sam Smith)","Calvin Harris","3060112","https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg","2018-10-12"
"7","In My Mind","Dynoro","3009440","https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33","2018-10-12"
"8","Eastside (with Halsey & Khalid)","benny blanco","2975510","https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao","2018-10-12"
"9","Falling Down - Bonus Track","Lil Peep","2970981","https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q","2018-10-12"
"10","Without Me","Halsey","2640720","https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C","2018-10-12"
"11","Shallow","Lady Gaga","2596515","https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B","2018-10-12"
"12","Girls Like You (feat. Cardi B)","Maroon 5","2591042","https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8","2018-10-12"
"13","SICKO MODE","Travis Scott","2510589","https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h","2018-10-12"
"14","Lucid Dreams","Juice WRLD","2480373","https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf","2018-10-12"
"15","In My Feelings","Drake","2459588","https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ","2018-10-12"
"16","Better","Khalid","2425787","https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J","2018-10-12"
"17","PASS OUT (feat. 21 Savage)","Quavo","2342525","https://open.spotify.com/track/3edzl4zvKFi0D3iuF6cs2f","2018-10-12"
"18","Be Alright","Dean Lewis","2315960","https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm","2018-10-12"
"19","Drip Too Hard (Lil Baby & Gunna)","Lil Baby","2277026","https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE","2018-10-12"
"20","SAD!","XXXTENTACION","2190295","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2018-10-12"
"21","Moonlight","XXXTENTACION","2168797","https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL","2018-10-12"
"22","Vaina Loca","Ozuna","2144321","https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA","2018-10-12"
"23","This Feeling (feat. Kelsea Ballerini)","The Chainsmokers","2114622","https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N","2018-10-12"
"24","BEBE","6ix9ine","2102577","https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C","2018-10-12"
"25","Electricity (with Dua Lipa)","Silk City","2033142","https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk","2018-10-12"
"26","Better Now","Post Malone","2015904","https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK","2018-10-12"
"27","I Like It","Cardi B","1966728","https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z","2018-10-12"
"28","Mo Bamba","Sheck Wes","1953706","https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr","2018-10-12"
"29","STOOPID","6ix9ine","1927106","https://open.spotify.com/track/1jQvUmf16VE9WQCPuK2e8K","2018-10-12"
"30","Woman Like Me (feat. Nicki Minaj)","Little Mix","1924459","https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1","2018-10-12"
"31","No Stylist","French Montana","1916684","https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A","2018-10-12"
"32","FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine","1872758","https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB","2018-10-12"
"33","Taste (feat. Offset)","Tyga","1852687","https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy","2018-10-12"
"34","Natural","Imagine Dragons","1803719","https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP","2018-10-12"
"35","FLIP THE SWITCH (feat. Drake)","Quavo","1783423","https://open.spotify.com/track/1rlIrbWboTRGeKfHhgbJRZ","2018-10-12"
"36","Lucky You (feat. Joyner Lucas)","Eminem","1752314","https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0","2018-10-12"
"37","Youngblood","5 Seconds of Summer","1691000","https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE","2018-10-12"
"38","Never Recover (Lil Baby & Gunna, Drake)","Lil Baby","1685546","https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ","2018-10-12"
"39","Te Boté - Remix","Nio Garcia","1672386","https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i","2018-10-12"
"40","Let You Love Me","Rita Ora","1656578","https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS","2018-10-12"
"41","Mona Lisa (feat. Kendrick Lamar)","Lil Wayne","1613271","https://open.spotify.com/track/0dbTQYW3Ad1FTzIA9t90E8","2018-10-12"
"42","Rise","Jonas Blue","1554662","https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3","2018-10-12"
"43","rockstar (feat. 21 Savage)","Post Malone","1544340","https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt","2018-10-12"
"44","Nonstop","Drake","1539056","https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct","2018-10-12"
"45","Venom - Music From The Motion Picture","Eminem","1526790","https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4","2018-10-12"
"46","Beautiful (feat. Camila Cabello)","Bazzi","1512596","https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF","2018-10-12"
"47","Solo (feat. Demi Lovato)","Clean Bandit","1509647","https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6","2018-10-12"
"48","Shotgun","George Ezra","1485134","https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC","2018-10-12"
"49","Cuando Te Besé","Becky G","1479789","https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy","2018-10-12"
"50","Quiere Beber","Anuel Aa","1470220","https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z","2018-10-12"
"51","Thunderclouds","Sia","1463473","https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi","2018-10-12"
"52","Jocelyn Flores","XXXTENTACION","1443522","https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96","2018-10-12"
"53","Wake Up in the Sky","Gucci Mane","1407823","https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq","2018-10-12"
"54","God is a woman","Ariana Grande","1407244","https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C","2018-10-12"
"55","Body (feat. brando)","Loud Luxury","1401038","https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs","2018-10-12"
"56","Noticed","Lil Mosey","1394653","https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC","2018-10-12"
"57","Sweet but Psycho","Ava Max","1392717","https://open.spotify.com/track/25sgk305KZfyuqVBQIahim","2018-10-12"
"58","High Hopes","Panic! At The Disco","1362947","https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom","2018-10-12"
