"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2019-01-11"
"Position","Track Name","Artist","Streams","URL","2019-01-11"
"1","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","4941806","https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P","2019-01-11"
"2","Wow.","Post Malone","4533972","https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP","2019-01-11"
"3","thank u, next","Ariana Grande","4221343","https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH","2019-01-11"
"4","Without Me","Halsey","3908400","https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C","2019-01-11"
"5","Sweet but Psycho","Ava Max","3381971","https://open.spotify.com/track/25sgk305KZfyuqVBQIahim","2019-01-11"
"6","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","3368952","https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM","2019-01-11"
"7","Calma - Remix","Pedro Capó","3256183","https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4","2019-01-11"
"8","Dancing With A Stranger (with Normani)","Sam Smith","3001247","https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki","2019-01-11"
"9","MIA (feat. Drake)","Bad Bunny","2975788","https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO","2019-01-11"
"10","High Hopes","Panic! At The Disco","2913355","https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom","2019-01-11"
"11","SICKO MODE","Travis Scott","2834186","https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h","2019-01-11"
"12","Happier","Marshmello","2743252","https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99","2019-01-11"
"13","Going Bad (feat. Drake)","Meek Mill","2677841","https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc","2019-01-11"
"14","Lost in the Fire","Gesaffelstein","2598505","https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG","2019-01-11"
"15","Adan y Eva","Paulo Londra","2563340","https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk","2019-01-11"
"16","Shallow","Lady Gaga","2516338","https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B","2019-01-11"
"17","ZEZE (feat. Travis Scott & Offset)","Kodak Black","2488356","https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z","2019-01-11"
"18","Saturday Nights","Khalid","2209261","https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8","2019-01-11"
"19","Eastside (with Halsey & Khalid)","benny blanco","2167124","https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU","2019-01-11"
"20","Drip Too Hard (Lil Baby & Gunna)","Lil Baby","2162849","https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE","2019-01-11"
"21","Mo Bamba","Sheck Wes","2106881","https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr","2019-01-11"
"22","Arms Around You (feat. Maluma & Swae Lee)","XXXTENTACION","1980887","https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh","2019-01-11"
"23","Better Now","Post Malone","1954201","https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK","2019-01-11"
"24","Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding","1948929","https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA","2019-01-11"
"25","when the party's over","Billie Eilish","1931412","https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI","2019-01-11"
"26","Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson","1900446","https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF","2019-01-11"
"27","Girls Like You (feat. Cardi B)","Maroon 5","1853689","https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8","2019-01-11"
"28","Look Back At It","A Boogie Wit da Hoodie","1786278","https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8","2019-01-11"
"29","Better","Khalid","1780420","https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ","2019-01-11"
"30","SAD!","XXXTENTACION","1776325","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2019-01-11"
"31","Be Alright","Dean Lewis","1762399","https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm","2019-01-11"
"32","Promises (with Sam Smith)","Calvin Harris","1751619","https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg","2019-01-11"
"33","Bohemian Rhapsody - Remastered 2011","Queen","1740335","https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J","2019-01-11"
"34","Giant (with Rag'n'Bone Man)","Calvin Harris","1718404","https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd","2019-01-11"
"35","In My Mind","Dynoro","1704487","https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33","2019-01-11"
"36","Leave Me Alone","Flipp Dinero","1686958","https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g","2019-01-11"
"37","Ella Quiere Beber - Remix","Anuel Aa","1666363","https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq","2019-01-11"
"38","Lucid Dreams","Juice WRLD","1627293","https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR","2019-01-11"
