"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-04-11"
"Position","Track Name","Artist","Streams","URL","2018-04-11"
"1","Nice For What","Drake","5976019","https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN","2018-04-11"
"2","God's Plan","Drake","5288405","https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY","2018-04-11"
"3","Psycho (feat. Ty Dolla $ign)","Post Malone","3850851","https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF","2018-04-11"
"4","Call Out My Name","The Weeknd","3808684","https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N","2018-04-11"
"5","FRIENDS","Marshmello","3635545","https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G","2018-04-11"
"6","X","Nicky Jam","3345853","https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA","2018-04-11"
"7","One Kiss (with Dua Lipa)","Calvin Harris","3206269","https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6","2018-04-11"
"8","Freaky Friday (feat. Chris Brown)","Lil Dicky","3187552","https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ","2018-04-11"
"9","SAD!","XXXTENTACION","2992060","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2018-04-11"
"10","IDGAF","Dua Lipa","2978756","https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr","2018-04-11"
"11","The Middle","Zedd","2961082","https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m","2018-04-11"
"12","Look Alive (feat. Drake)","BlocBoy JB","2877243","https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL","2018-04-11"
"13","Love Lies (with Normani)","Khalid","2837730","https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk","2018-04-11"
"14","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental","2574448","https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x","2018-04-11"
"15","Mine","Bazzi","2407162","https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M","2018-04-11"
"16","All The Stars (with SZA)","Kendrick Lamar","2391546","https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s","2018-04-11"
"17","I Like It","Cardi B","2225315","https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z","2018-04-11"
"18","In My Blood","Shawn Mendes","2221065","https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K","2018-04-11"
"19","Plug Walk","Rich The Kid","2187217","https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ","2018-04-11"
"20","rockstar","Post Malone","2104830","https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX","2018-04-11"
"21","Dura","Daddy Yankee","1982216","https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc","2018-04-11"
"22","Walk It Talk It","Migos","1978800","https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP","2018-04-11"
"23","Meant to Be (feat. Florida Georgia Line)","Bebe Rexha","1971612","https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn","2018-04-11"
"24","Havana (feat. Young Thug)","Camila Cabello","1902886","https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W","2018-04-11"
"25","Nevermind","Dennis Lloyd","1829949","https://open.spotify.com/track/63SevszngYpZOwf63o61K4","2018-04-11"
"26","Me Niego","Reik","1818422","https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T","2018-04-11"
"27","Delicate","Taylor Swift","1663743","https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf","2018-04-11"
"28","Be Careful","Cardi B","1659435","https://open.spotify.com/track/2Yl4OmDby9iitgNWZPwxkd","2018-04-11"
"29","Wasted Times","The Weeknd","1640492","https://open.spotify.com/track/72TyiiduRmczEbDIEtKQdR","2018-04-11"
"30","Never Be the Same","Camila Cabello","1635570","https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ","2018-04-11"
"31","Remind Me to Forget","Kygo","1589632","https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80","2018-04-11"
"32","Like I Do","David Guetta","1587993","https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ","2018-04-11"
"33","New Rules","Dua Lipa","1550121","https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0","2018-04-11"
"34","Try Me","The Weeknd","1529396","https://open.spotify.com/track/2poOAWEj1CStqTVPgIHZ8s","2018-04-11"
"35","Say Something","Justin Timberlake","1492260","https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS","2018-04-11"
"36","Échame La Culpa","Luis Fonsi","1456585","https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK","2018-04-11"
"37","Bella","Wolfine","1450484","https://open.spotify.com/track/3xcCix7Jv1Rp90YVmgo35D","2018-04-11"
"38","Mad Love","Sean Paul","1444655","https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf","2018-04-11"
"39","Moonlight","XXXTENTACION","1444581","https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL","2018-04-11"
"40","1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes","1427890","https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b","2018-04-11"
"41","Shape of You","Ed Sheeran","1395160","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2018-04-11"
"42","JAPAN","Famous Dex","1381478","https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl","2018-04-11"
"43","Ric Flair Drip (& Metro Boomin)","Offset","1379198","https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR","2018-04-11"
"44","Pray For Me (with Kendrick Lamar)","The Weeknd","1376581","https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x","2018-04-11"
"45","Perfect","Ed Sheeran","1369675","https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v","2018-04-11"
"46","I Fall Apart","Post Malone","1362031","https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh","2018-04-11"
"47","Wolves","Selena Gomez","1349979","https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC","2018-04-11"
"48","Déjala que vuelva (feat. Manuel Turizo)","Piso 21","1344687","https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l","2018-04-11"
"49","I Do (feat. SZA)","Cardi B","1324145","https://open.spotify.com/track/1f5PNhkNgUpvDEeZfcIlO1","2018-04-11"
