"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2017-02-25"
"Position","Track Name","Artist","Streams","URL","2017-02-25"
"1","Shape of You","Ed Sheeran","7632460","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2017-02-25"
"2","Something Just Like This","The Chainsmokers","4460815","https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW","2017-02-25"
"3","It Ain't Me (with Selena Gomez)","Kygo","4344325","https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe","2017-02-25"
"4","I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN","4069844","https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0","2017-02-25"
"5","Despacito (Featuring Daddy Yankee)","Luis Fonsi","3905945","https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2","2017-02-25"
"6","Paris","The Chainsmokers","3847679","https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG","2017-02-25"
"7","Scared to Be Lonely","Martin Garrix","3262087","https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH","2017-02-25"
"8","Chained To The Rhythm","Katy Perry","3116996","https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi","2017-02-25"
"9","Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit","2843989","https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW","2017-02-25"
"10","Castle on the Hill","Ed Sheeran","2663585","https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT","2017-02-25"
"11","I Feel It Coming","The Weeknd","2526676","https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt","2017-02-25"
"12","Issues","Julia Michaels","2508667","https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt","2017-02-25"
"13","Closer","The Chainsmokers","2357567","https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw","2017-02-25"
"14","Starboy","The Weeknd","2341366","https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z","2017-02-25"
"15","Call On Me - Ryan Riback Extended Remix","Starley","2327549","https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde","2017-02-25"
"16","Say You Won't Let Go","James Arthur","2251446","https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh","2017-02-25"
"17","Bad and Boujee (feat. Lil Uzi Vert)","Migos","2236116","https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR","2017-02-25"
"18","That's What I Like","Bruno Mars","2121753","https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU","2017-02-25"
"19","Believer","Imagine Dragons","2080736","https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6","2017-02-25"
"20","Chantaje (feat. Maluma)","Shakira","2054702","https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg","2017-02-25"
"21","Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer","1976449","https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ","2017-02-25"
"22","Cold","Maroon 5","1932599","https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k","2017-02-25"
"23","Slide (feat. Frank Ocean & Migos)","Calvin Harris","1875476","https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl","2017-02-25"
"24","Just Hold On","Steve Aoki","1838960","https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR","2017-02-25"
"25","iSpy (feat. Lil Yachty)","KYLE","1813200","https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL","2017-02-25"
"26","How Far I'll Go - From ""Moana""","Alessia Cara","1797832","https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN","2017-02-25"
"27","Solo Dance","Martin Jensen","1731027","https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN","2017-02-25"
"28","Let Me Love You","DJ Snake","1694661","https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m","2017-02-25"
"29","Bad Things (with Camila Cabello)","Machine Gun Kelly","1689616","https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj","2017-02-25"
"30","Weak","AJR","1686646","https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv","2017-02-25"
"31","Don't Wanna Know","Maroon 5","1655310","https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r","2017-02-25"
"32","Fake Love","Drake","1633932","https://open.spotify.com/track/343YBumqHu19cGoGARUTsd","2017-02-25"
"33","24K Magic","Bruno Mars","1630779","https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P","2017-02-25"
"34","All Night","The Vamps","1625195","https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW","2017-02-25"
"35","El Amante","Nicky Jam","1615531","https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs","2017-02-25"
"36","Stay (with Alessia Cara)","Zedd","1612221","https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g","2017-02-25"
"37","Bounce Back","Big Sean","1608483","https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF","2017-02-25"
"38","All Time Low","Jon Bellion","1581107","https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m","2017-02-25"
"39","Reggaetón Lento (Bailemos)","CNCO","1498882","https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo","2017-02-25"
"40","One Dance","Drake","1485934","https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3","2017-02-25"
"41","Shed a Light","Robin Schulz","1404474","https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY","2017-02-25"
"42","Hear Me Now","Alok","1351162","https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON","2017-02-25"
"43","Congratulations","Post Malone","1344722","https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9","2017-02-25"
"44","Don't Leave","Snakehips","1303218","https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92","2017-02-25"
"45","Cold Water (feat. Justin Bieber & MØ)","Major Lazer","1284502","https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p","2017-02-25"
"46","In the Name of Love","Martin Garrix","1262538","https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L","2017-02-25"
"47","Now and Later","Sage The Gemini","1232750","https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd","2017-02-25"
"48","Side To Side","Ariana Grande","1206486","https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz","2017-02-25"
"49","You Don't Know Me - Radio Edit","Jax Jones","1185608","https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY","2017-02-25"
"50","Love","Lana Del Rey","1148744","https://open.spotify.com/track/0n2bvWvMwr0gbjcuTm92eW","2017-02-25"
"51","How Would You Feel (Paean)","Ed Sheeran","1125233","https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN","2017-02-25"
"52","T-Shirt","Migos","1110306","https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7","2017-02-25"
"53","Otra vez (feat. J Balvin)","Zion & Lennox","1099416","https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq","2017-02-25"
"54","Black Beatles","Rae Sremmurd","1071490","https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo","2017-02-25"
"55","My Way","Calvin Harris","1059017","https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm","2017-02-25"
"56","I Would Like","Zara Larsson","1049169","https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6","2017-02-25"
"57","I Got You","Bebe Rexha","1029354","https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i","2017-02-25"
"58","Tunnel Vision","Kodak Black","998535","https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4","2017-02-25"
"59","Sunset Lover","Petit Biscuit","986941","https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1","2017-02-25"
"60","Safari","J Balvin","979222","https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO","2017-02-25"
"61","SUBEME LA RADIO","Enrique Iglesias","978059","https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn","2017-02-25"
"62","Human","Rag'n'Bone Man","969644","https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O","2017-02-25"
"63","Starving","Hailee Steinfeld","959992","https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe","2017-02-25"
"64","Alone","Alan Walker","941481","https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p","2017-02-25"
"65","Water Under the Bridge","Adele","904814","https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y","2017-02-25"
"66","Comin Out Strong (feat. The Weeknd)","Future","901822","https://open.spotify.com/track/3mRcWCyteY2133a7xVMrYw","2017-02-25"
"67","Mask Off","Future","900723","https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8","2017-02-25"
"68","Caroline","Aminé","897177","https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g","2017-02-25"
"69","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake","894508","https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc","2017-02-25"
"70","Touch","Little Mix","878958","https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z","2017-02-25"
"71","Heathens","Twenty One Pilots","875870","https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr","2017-02-25"
"72","Don't Let Me Down","The Chainsmokers","865244","https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm","2017-02-25"
"73","Vente Pa' Ca","Ricky Martin","863945","https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46","2017-02-25"
"74","Swang","Rae Sremmurd","857055","https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL","2017-02-25"
"75","Treat You Better","Shawn Mendes","845448","https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd","2017-02-25"
"76","Body Like A Back Road","Sam Hunt","845138","https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO","2017-02-25"
"77","Mercy","Shawn Mendes","835936","https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a","2017-02-25"
"78","Selfish (feat. Rihanna)","Future","831483","https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA","2017-02-25"
"79","September Song","JP Cooper","830835","https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI","2017-02-25"
"80","History","Olivia Holt","819260","https://open.spotify.com/track/0WCEaydwN65cvwaW8aqptF","2017-02-25"
"81","It's Gotta Be You","Isaiah","815586","https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW","2017-02-25"
"82","Me Llamas (feat. Maluma) - Remix","Piso 21","812931","https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX","2017-02-25"
"83","Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","IAmChino","808622","https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY","2017-02-25"
"84","La Rompe Corazones","Daddy Yankee","804949","https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3","2017-02-25"
"85","Vacaciones","Wisin","799675","https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE","2017-02-25"
"86","All We Know","The Chainsmokers","781572","https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK","2017-02-25"
"87","Photograph","Ed Sheeran","780266","https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy","2017-02-25"
"88","Party Monster","The Weeknd","780249","https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt","2017-02-25"
"89","Scars To Your Beautiful","Alessia Cara","775995","https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK","2017-02-25"
"90","Broccoli (feat. Lil Yachty)","DRAM","774760","https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol","2017-02-25"
"91","Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa","765257","https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65","2017-02-25"
"92","I Took A Pill In Ibiza - Seeb Remix","Mike Posner","749424","https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl","2017-02-25"
"93","Thinking out Loud","Ed Sheeran","742445","https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg","2017-02-25"
"94","By Your Side","Jonas Blue","733646","https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j","2017-02-25"
"95","Skin","Rag'n'Bone Man","717033","https://open.spotify.com/track/6y2Kaz9QI01XBKJ8mTb7Pf","2017-02-25"
"96","Moves","Big Sean","715812","https://open.spotify.com/track/0Fv5N0cHBsl4bzCbollCAS","2017-02-25"
"97","We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth","707403","https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV","2017-02-25"
"98","Stressed Out","Twenty One Pilots","698496","https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn","2017-02-25"
"99","Love Me Now","John Legend","698495","https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89","2017-02-25"
"100","Ride","Twenty One Pilots","694658","https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW","2017-02-25"
"101","Cake - Challenge Version","Flo Rida","686057","https://open.spotify.com/track/6t2ubAB4iSYOuIpRAOGd4t","2017-02-25"
"102","No Lie","Sean Paul","672221","https://open.spotify.com/track/3cFsmM51N5zMAuu1nNY4Tw","2017-02-25"
"103","Make Me (Cry)","Noah Cyrus","670309","https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP","2017-02-25"
"104","Sexual","NEIKED","668808","https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop","2017-02-25"
"105","Versace on the Floor","Bruno Mars","667294","https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP","2017-02-25"
"106","Sooner Or Later","Aaron Carter","667250","https://open.spotify.com/track/6wV12xIUb8oFY7lBy4KuQe","2017-02-25"
"107","Romantic - NOTD Remix","Stanaj","666596","https://open.spotify.com/track/3SGWp9fJCzgK0WcpcKSQdy","2017-02-25"
"108","La Bicicleta","Carlos Vives","657678","https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU","2017-02-25"
"109","Me Rehúso","Danny Ocean","656978","https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl","2017-02-25"
"110","Dile Que Tu Me Quieres","Ozuna","654186","https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o","2017-02-25"
"111","Cheap Thrills","Sia","651269","https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j","2017-02-25"
"112","Faded","Alan Walker","649760","https://open.spotify.com/track/7gHs73wELdeycvS48JfIos","2017-02-25"
"113","The Greatest","Sia","644941","https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO","2017-02-25"
"114","Perfect Strangers","Jonas Blue","643186","https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1","2017-02-25"
"115","No Problem (feat. Lil Wayne & 2 Chainz)","Chance the Rapper","641623","https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH","2017-02-25"
"116","The Other","Lauv","640761","https://open.spotify.com/track/1lntL1cI2UIWlxjL5QiN8g","2017-02-25"
"117","Panda","Desiigner","640054","https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h","2017-02-25"
"118","This Is What You Came For","Calvin Harris","639930","https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y","2017-02-25"
"119","Gyal You A Party Animal - Remix","Charly Black","638433","https://open.spotify.com/track/1AkTW13ysu0AJrwuM6UY0I","2017-02-25"
"120","Traicionera","Sebastian Yatra","638105","https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT","2017-02-25"
"121","Be The One","Dua Lipa","638086","https://open.spotify.com/track/7FCfMXYTIiQ9b4hDYs4Iol","2017-02-25"
"122","goosebumps","Travis Scott","634938","https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2","2017-02-25"
"123","Redbone","Childish Gambino","628385","https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y","2017-02-25"
"124","Some Kind Of Drug","G-Eazy","627610","https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF","2017-02-25"
"125","Oceans Away","A R I Z O N A","620879","https://open.spotify.com/track/6A8dnC0xkiuWN4BshmTB2I","2017-02-25"
"126","X (feat. Future)","21 Savage","620727","https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO","2017-02-25"
"127","Love Yourself","Justin Bieber","617433","https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT","2017-02-25"
"128","Sorry","Justin Bieber","616277","https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ","2017-02-25"
"129","Tuesday","Burak Yeter","615370","https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR","2017-02-25"
"130","Work from Home (feat. Ty Dolla $ign)","Fifth Harmony","611519","https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb","2017-02-25"
