"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-04-05"
"Position","Track Name","Artist","Streams","URL","2018-04-05"
"1","God's Plan","Drake","5470229","https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY","2018-04-05"
"2","Call Out My Name","The Weeknd","4836883","https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N","2018-04-05"
"3","Psycho (feat. Ty Dolla $ign)","Post Malone","4082831","https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF","2018-04-05"
"4","X","Nicky Jam","3539530","https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA","2018-04-05"
"5","FRIENDS","Marshmello","3516137","https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G","2018-04-05"
"6","SAD!","XXXTENTACION","3095904","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2018-04-05"
"7","IDGAF","Dua Lipa","3046682","https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr","2018-04-05"
"8","Freaky Friday (feat. Chris Brown)","Lil Dicky","3011833","https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ","2018-04-05"
"9","The Middle","Zedd","2959788","https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m","2018-04-05"
"10","Love Lies (with Normani)","Khalid","2878956","https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk","2018-04-05"
"11","Look Alive (feat. Drake)","BlocBoy JB","2851538","https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL","2018-04-05"
"12","All The Stars (with SZA)","Kendrick Lamar","2594156","https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s","2018-04-05"
"13","Mine","Bazzi","2563697","https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M","2018-04-05"
"14","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental","2554387","https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x","2018-04-05"
