"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2019-02-09"
"Position","Track Name","Artist","Streams","URL","2019-02-09"
"1","7 rings","Ariana Grande","9486847","https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF","2019-02-09"
"2","break up with your girlfriend, i'm bored","Ariana Grande","7576481","https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS","2019-02-09"
"3","thank u, next","Ariana Grande","5366740","https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ","2019-02-09"
"4","needy","Ariana Grande","4497392","https://open.spotify.com/track/1TEL6MlSSVLSdhOSddidlJ","2019-02-09"
"5","bloodline","Ariana Grande","4441959","https://open.spotify.com/track/2hloaUoRonYssMuqLCBLTX","2019-02-09"
"6","NASA","Ariana Grande","4408981","https://open.spotify.com/track/4SPu0Ql902hTVXkBoNIYtq","2019-02-09"
"7","bad idea","Ariana Grande","4238384","https://open.spotify.com/track/7EQpvVujgytLVY8vKiDHAg","2019-02-09"
"8","Wow.","Post Malone","4047640","https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP","2019-02-09"
"9","bury a friend","Billie Eilish","3907560","https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP","2019-02-09"
"10","fake smile","Ariana Grande","3827297","https://open.spotify.com/track/3wFLWP0FcIqHK1wb1CPthQ","2019-02-09"
"11","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","3793334","https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P","2019-02-09"
"12","ghostin","Ariana Grande","3639294","https://open.spotify.com/track/4lD7gHKF1e8Y9stQuVezZB","2019-02-09"
"13","Happier","Marshmello","3622721","https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99","2019-02-09"
"14","imagine","Ariana Grande","3613980","https://open.spotify.com/track/39LmTF9RgyakzSYX8txrow","2019-02-09"
"15","Without Me","Halsey","3225011","https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C","2019-02-09"
"16","Calma - Remix","Pedro Capó","3196320","https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4","2019-02-09"
