"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-11-07"
"Position","Track Name","Artist","Streams","URL","2018-11-07"
"1","thank u, next","Ariana Grande","9013838","https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH","2018-11-07"
"2","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","5366612","https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM","2018-11-07"
"3","MIA (feat. Drake)","Bad Bunny","3906638","https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO","2018-11-07"
"4","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","3524406","https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8","2018-11-07"
"5","Happier","Marshmello","3456170","https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99","2018-11-07"
"6","Without Me","Halsey","3326760","https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C","2018-11-07"
"7","Shallow","Lady Gaga","3230212","https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B","2018-11-07"
"8","Arms Around You (feat. Maluma & Swae Lee)","XXXTENTACION","3174486","https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh","2018-11-07"
"9","ZEZE (feat. Travis Scott & Offset)","Kodak Black","2921951","https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA","2018-11-07"
"10","SICKO MODE","Travis Scott","2689276","https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h","2018-11-07"
"11","when the party's over","Billie Eilish","2490611","https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI","2018-11-07"
"12","Mo Bamba","Sheck Wes","2407626","https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr","2018-11-07"
"13","Bohemian Rhapsody - Remastered 2011","Queen","2388052","https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J","2018-11-07"
"14","Better","Khalid","2335815","https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ","2018-11-07"
"15","Sweet but Psycho","Ava Max","2263145","https://open.spotify.com/track/25sgk305KZfyuqVBQIahim","2018-11-07"
