"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2017-04-15"
"Position","Track Name","Artist","Streams","URL","2017-04-15"
"1","HUMBLE.","Kendrick Lamar","5985290","https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS","2017-04-15"
"2","Shape of You","Ed Sheeran","5525951","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2017-04-15"
"3","DNA.","Kendrick Lamar","4593493","https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj","2017-04-15"
"4","Something Just Like This","The Chainsmokers","3728319","https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW","2017-04-15"
"5","LOYALTY. FEAT. RIHANNA.","Kendrick Lamar","3438387","https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n","2017-04-15"
"6","It Ain't Me (with Selena Gomez)","Kygo","3418153","https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe","2017-04-15"
"7","ELEMENT.","Kendrick Lamar","3388297","https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG","2017-04-15"
"8","Mask Off","Future","3359394","https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8","2017-04-15"
"9","Passionfruit","Drake","3207667","https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd","2017-04-15"
"10","That's What I Like","Bruno Mars","3077756","https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU","2017-04-15"
"11","Stay (with Alessia Cara)","Zedd","2961937","https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g","2017-04-15"
"12","Despacito (Featuring Daddy Yankee)","Luis Fonsi","2839431","https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2","2017-04-15"
"13","YAH.","Kendrick Lamar","2825636","https://open.spotify.com/track/4BHSjbYylfOH5WAGusDyni","2017-04-15"
"14","Symphony (feat. Zara Larsson)","Clean Bandit","2800738","https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8","2017-04-15"
"15","FEEL.","Kendrick Lamar","2735585","https://open.spotify.com/track/2LTlO3NuNVN70lp2ZbVswF","2017-04-15"
"16","XXX. FEAT. U2.","Kendrick Lamar","2647984","https://open.spotify.com/track/4iYRa2btalAzPZoSYfROqF","2017-04-15"
"17","LOVE. FEAT. ZACARI.","Kendrick Lamar","2628652","https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As","2017-04-15"
"18","Paris","The Chainsmokers","2597234","https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG","2017-04-15"
"19","PRIDE.","Kendrick Lamar","2571342","https://open.spotify.com/track/6IZvVAP7VPPnsGX6bvgkqg","2017-04-15"
"20","Galway Girl","Ed Sheeran","2495692","https://open.spotify.com/track/0afhq8XCExXpqazXczTSve","2017-04-15"
"21","Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo","2414585","https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF","2017-04-15"
"22","LUST.","Kendrick Lamar","2410940","https://open.spotify.com/track/06FCvd7rrRcF3DdvWH5Isp","2017-04-15"
"23","BLOOD.","Kendrick Lamar","2320959","https://open.spotify.com/track/1n4jwRVXdkK2U34nBDUKKT","2017-04-15"
"24","Slide (feat. Frank Ocean & Migos)","Calvin Harris","2208888","https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl","2017-04-15"
"25","Issues","Julia Michaels","2166321","https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt","2017-04-15"
"26","Scared to Be Lonely","Martin Garrix","2163098","https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH","2017-04-15"
"27","FEAR.","Kendrick Lamar","2072403","https://open.spotify.com/track/23luOrEVHMfoX0AhfbQuS6","2017-04-15"
"28","Sign of the Times","Harry Styles","1980307","https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN","2017-04-15"
"29","iSpy (feat. Lil Yachty)","KYLE","1914284","https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL","2017-04-15"
"30","You Don't Know Me - Radio Edit","Jax Jones","1838459","https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY","2017-04-15"
"31","DUCKWORTH.","Kendrick Lamar","1825047","https://open.spotify.com/track/0y9uTzK9cNKSAEHnpeRG8C","2017-04-15"
"32","GOD.","Kendrick Lamar","1813717","https://open.spotify.com/track/5p3NP9mQblDsVJLdfNZJ3I","2017-04-15"
"33","Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit","1779055","https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW","2017-04-15"
"34","Cold","Maroon 5","1773148","https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k","2017-04-15"
"35","I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN","1766329","https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0","2017-04-15"
"36","XO TOUR Llif3","Lil Uzi Vert","1762727","https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq","2017-04-15"
"37","Believer","Imagine Dragons","1752185","https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6","2017-04-15"
"38","Solo Dance","Martin Jensen","1617036","https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN","2017-04-15"
"39","Call On Me - Ryan Riback Extended Remix","Starley","1601793","https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde","2017-04-15"
"40","The One","The Chainsmokers","1568406","https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5","2017-04-15"
"41","SUBEME LA RADIO","Enrique Iglesias","1543370","https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn","2017-04-15"
"42","I Feel It Coming","The Weeknd","1522490","https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt","2017-04-15"
"43","Castle on the Hill","Ed Sheeran","1521268","https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT","2017-04-15"
"44","Closer","The Chainsmokers","1502576","https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw","2017-04-15"
"45","Chained To The Rhythm","Katy Perry","1458242","https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi","2017-04-15"
"46","Congratulations","Post Malone","1445660","https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9","2017-04-15"
"47","Portland","Drake","1442709","https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h","2017-04-15"
"48","Location","Khalid","1406114","https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif","2017-04-15"
"49","Starboy","The Weeknd","1361430","https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z","2017-04-15"
"50","Say You Won't Let Go","James Arthur","1331976","https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh","2017-04-15"
"51","Me Rehúso","Danny Ocean","1310412","https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl","2017-04-15"
"52","Green Light","Lorde","1294900","https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5","2017-04-15"
"53","Chantaje (feat. Maluma)","Shakira","1252439","https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg","2017-04-15"
"54","El Amante","Nicky Jam","1242836","https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs","2017-04-15"
"55","Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer","1240359","https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ","2017-04-15"
"56","Selfish (feat. Rihanna)","Future","1185333","https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA","2017-04-15"
"57","Perfect","Ed Sheeran","1183466","https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v","2017-04-15"
"58","Weak","AJR","1161283","https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv","2017-04-15"
"59","Now Or Never","Halsey","1126683","https://open.spotify.com/track/0Nhu3zSYbEz32IYiobV75e","2017-04-15"
"60","Fake Love","Drake","1113070","https://open.spotify.com/track/343YBumqHu19cGoGARUTsd","2017-04-15"
"61","Good Life (with G-Eazy & Kehlani)","G-Eazy","1096544","https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E","2017-04-15"
"62","Happier","Ed Sheeran","1057940","https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB","2017-04-15"
"63","Bad and Boujee (feat. Lil Uzi Vert)","Migos","1056593","https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR","2017-04-15"
"64","September Song","JP Cooper","1049727","https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI","2017-04-15"
"65","Tunnel Vision","Kodak Black","1047588","https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4","2017-04-15"
"66","Still Got Time","ZAYN","1046186","https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl","2017-04-15"
"67","Touch","Little Mix","1025723","https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z","2017-04-15"
"68","Blem","Drake","1022067","https://open.spotify.com/track/2XlHu0HcujBCkWMdIAvrqt","2017-04-15"
"69","Bounce Back","Big Sean","1017053","https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF","2017-04-15"
"70","One Dance","Drake","1015759","https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3","2017-04-15"
"71","Let Me Love You","DJ Snake","996993","https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m","2017-04-15"
"72","How Far I'll Go - From ""Moana""","Alessia Cara","987760","https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN","2017-04-15"
"73","Tuesday","Burak Yeter","944839","https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR","2017-04-15"
"74","24K Magic","Bruno Mars","927801","https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P","2017-04-15"
"75","Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version","Pitbull","910443","https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez","2017-04-15"
"76","Body Like A Back Road","Sam Hunt","902776","https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO","2017-04-15"
"77","No Promises (feat. Demi Lovato)","Cheat Codes","896146","https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW","2017-04-15"
"78","Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann","892242","https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR","2017-04-15"
"79","T-Shirt","Migos","858297","https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7","2017-04-15"
"80","Gyalchester","Drake","852354","https://open.spotify.com/track/6UjfByV1lDLW0SOVQA4NAi","2017-04-15"
"81","Otra vez (feat. J Balvin)","Zion & Lennox","849315","https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq","2017-04-15"
"82","Reggaetón Lento (Bailemos)","CNCO","837783","https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo","2017-04-15"
"83","Look At Me!","XXXTENTACION","832059","https://open.spotify.com/track/4ARPvK8DHLwt4oX65ZAFMw","2017-04-15"
"84","Hear Me Now","Alok","829910","https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON","2017-04-15"
"85","Sigo Extrañándote","J Balvin","816664","https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8","2017-04-15"
"86","Don't Wanna Know","Maroon 5","810206","https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r","2017-04-15"
"87","La Rompe Corazones","Daddy Yankee","794252","https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3","2017-04-15"
"88","Starving","Hailee Steinfeld","778055","https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe","2017-04-15"
"89","goosebumps","Travis Scott","771651","https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2","2017-04-15"
"90","Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)","Calvin Harris","767614","https://open.spotify.com/track/60APt5N2NRaKWf5xzJdzyC","2017-04-15"
"91","Swang","Rae Sremmurd","765189","https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL","2017-04-15"
"92","Don't Let Me Down","The Chainsmokers","760705","https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm","2017-04-15"
"93","All Time Low","Jon Bellion","759287","https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m","2017-04-15"
"94","Dive","Ed Sheeran","757084","https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls","2017-04-15"
"95","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake","748720","https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc","2017-04-15"
"96","Redbone","Childish Gambino","740425","https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y","2017-04-15"
"97","Everyday","Ariana Grande","726875","https://open.spotify.com/track/3FiE2d325mIOc4YjkSLVJR","2017-04-15"
"98","Rolex","Ayo & Teo","719188","https://open.spotify.com/track/0pSBuHjILhNEo55xK1zrRt","2017-04-15"
"99","All Night","The Vamps","717741","https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW","2017-04-15"
"100","In the Name of Love","Martin Garrix","704024","https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L","2017-04-15"
"101","What Do I Know?","Ed Sheeran","701934","https://open.spotify.com/track/2pJZ1v8HezrAoZ0Fhzby92","2017-04-15"
"102","Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa","698731","https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65","2017-04-15"
"103","Cold Water (feat. Justin Bieber & MØ)","Major Lazer","698341","https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p","2017-04-15"
"104","Escápate Conmigo","Wisin","697277","https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6","2017-04-15"
