"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-05-27"
"Position","Track Name","Artist","Streams","URL","2018-05-27"
"1","One Kiss (with Dua Lipa)","Calvin Harris","3786705","https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6","2018-05-27"
"2","Better Now","Post Malone","3696711","https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK","2018-05-27"
"3","Nice For What","Drake","3367611","https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN","2018-05-27"
"4","God's Plan","Drake","3074287","https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY","2018-05-27"
"5","no tears left to cry","Ariana Grande","2889642","https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9","2018-05-27"
"6","This Is America","Childish Gambino","2775982","https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9","2018-05-27"
"7","X","Nicky Jam","2665537","https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA","2018-05-27"
"8","Te Boté - Remix","Nio Garcia","2650303","https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i","2018-05-27"
"9","FRIENDS","Marshmello","2391419","https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G","2018-05-27"
"10","Psycho (feat. Ty Dolla $ign)","Post Malone","2387919","https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C","2018-05-27"
"11","I Like It","Cardi B","2359881","https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z","2018-05-27"
"12","Yes Indeed","Lil Baby","2188299","https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ","2018-05-27"
"13","In My Blood","Shawn Mendes","2150746","https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4","2018-05-27"
"14","Back To You","Selena Gomez","2145062","https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9","2018-05-27"
"15","rockstar (feat. 21 Savage)","Post Malone","1957414","https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt","2018-05-27"
"16","Love Lies (with Normani)","Khalid","1903970","https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk","2018-05-27"
"17","The Middle","Zedd","1884432","https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m","2018-05-27"
"18","Lucid Dreams","Juice WRLD","1834977","https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc","2018-05-27"
"19","Youth feat. Khalid","Shawn Mendes","1802452","https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z","2018-05-27"
"20","Nevermind","Dennis Lloyd","1775550","https://open.spotify.com/track/63SevszngYpZOwf63o61K4","2018-05-27"
"21","Look Alive (feat. Drake)","BlocBoy JB","1751146","https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL","2018-05-27"
"22","Youngblood","5 Seconds of Summer","1744380","https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw","2018-05-27"
"23","Freaky Friday (feat. Chris Brown)","Lil Dicky","1737156","https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ","2018-05-27"
"24","IDGAF","Dua Lipa","1710510","https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr","2018-05-27"
"25","Flames","David Guetta","1691639","https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV","2018-05-27"
"26","Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky","1602901","https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z","2018-05-27"
"27","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental","1574268","https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x","2018-05-27"
"28","Me Niego","Reik","1495968","https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T","2018-05-27"
"29","Call Out My Name","The Weeknd","1491756","https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N","2018-05-27"
"30","Nervous","Shawn Mendes","1456607","https://open.spotify.com/track/0Dq49j3dELbttQVUJbtn0c","2018-05-27"
"31","OTW","Khalid","1420603","https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI","2018-05-27"
"32","Solo (feat. Demi Lovato)","Clean Bandit","1417053","https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6","2018-05-27"
"33","Playinwitme (feat. Kehlani)","KYLE","1410976","https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr","2018-05-27"
"34","Meant to Be (feat. Florida Georgia Line)","Bebe Rexha","1369085","https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn","2018-05-27"
"35","FAKE LOVE","BTS","1349707","https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo","2018-05-27"
"36","Havana (feat. Young Thug)","Camila Cabello","1345325","https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W","2018-05-27"
"37","lovely (with Khalid)","Billie Eilish","1335276","https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4","2018-05-27"
"38","SAD!","XXXTENTACION","1326747","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2018-05-27"
"39","2002","Anne-Marie","1323136","https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB","2018-05-27"
"40","Sin Pijama","Becky G","1320603","https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww","2018-05-27"
"41","Remind Me to Forget","Kygo","1308654","https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80","2018-05-27"
"42","Paranoid","Post Malone","1299844","https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq","2018-05-27"
"43","I'm Upset","Drake","1275924","https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk","2018-05-27"
"44","1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes","1246725","https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b","2018-05-27"
"45","Walk It Talk It","Migos","1237323","https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP","2018-05-27"
"46","All The Stars (with SZA)","Kendrick Lamar","1208477","https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s","2018-05-27"
"47","Shape of You","Ed Sheeran","1198316","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2018-05-27"
"48","Dura - Remix","Daddy Yankee","1159809","https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb","2018-05-27"
"49","New Rules","Dua Lipa","1150722","https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0","2018-05-27"
"50","Mine","Bazzi","1134487","https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR","2018-05-27"
"51","Ball For Me (feat. Nicki Minaj)","Post Malone","1113406","https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa","2018-05-27"
"52","Plug Walk","Rich The Kid","1112401","https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ","2018-05-27"
"53","Síguelo Bailando","Ozuna","1046750","https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz","2018-05-27"
"54","Dura","Daddy Yankee","1038610","https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc","2018-05-27"
"55","Ric Flair Drip (& Metro Boomin)","Offset","1027719","https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR","2018-05-27"
"56","El Préstamo","Maluma","1017877","https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz","2018-05-27"
"57","Where Were You In The Morning?","Shawn Mendes","1012058","https://open.spotify.com/track/51wrmElSLxFzc0vSQPeTxs","2018-05-27"
"58","Like I Do","David Guetta","1002747","https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ","2018-05-27"
"59","Somebody","The Chainsmokers","999262","https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl","2018-05-27"
"60","Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd","988124","https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci","2018-05-27"
"61","La Player (Bandolera)","Zion & Lennox","982006","https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP","2018-05-27"
"62","Spoil My Night (feat. Swae Lee)","Post Malone","965037","https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv","2018-05-27"
"63","Perfect","Ed Sheeran","961783","https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v","2018-05-27"
"64","Lost In Japan","Shawn Mendes","959655","https://open.spotify.com/track/6WBTeFDEfAJbaSUUc1V1xQ","2018-05-27"
"65","Stay","Post Malone","946306","https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc","2018-05-27"
"66","Familiar","Liam Payne","924281","https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A","2018-05-27"
"67","I Fall Apart","Post Malone","901424","https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh","2018-05-27"
"68","Échame La Culpa","Luis Fonsi","901251","https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK","2018-05-27"
"69","Jackie Chan","Tiësto","880662","https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp","2018-05-27"
"70","Candy Paint","Post Malone","874966","https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC","2018-05-27"
"71","Taste (feat. Offset)","Tyga","870920","https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy","2018-05-27"
"72","Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2","Diplo","869044","https://open.spotify.com/track/5mqzhMuUpvnMfwNz6iepmO","2018-05-27"
