"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2017-04-18"
"Position","Track Name","Artist","Streams","URL","2017-04-18"
"1","HUMBLE.","Kendrick Lamar","5987712","https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS","2017-04-18"
"2","Shape of You","Ed Sheeran","5507119","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2017-04-18"
"3","DNA.","Kendrick Lamar","4294572","https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj","2017-04-18"
"4","Despacito - Remix","Luis Fonsi","4087706","https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb","2017-04-18"
"5","Something Just Like This","The Chainsmokers","3863631","https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW","2017-04-18"
"6","It Ain't Me (with Selena Gomez)","Kygo","3584662","https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe","2017-04-18"
"7","Mask Off","Future","3431505","https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8","2017-04-18"
"8","Passionfruit","Drake","3300369","https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd","2017-04-18"
"9","That's What I Like","Bruno Mars","3190481","https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU","2017-04-18"
"10","Stay (with Alessia Cara)","Zedd","3182379","https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g","2017-04-18"
"11","LOYALTY. FEAT. RIHANNA.","Kendrick Lamar","3174548","https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n","2017-04-18"
"12","ELEMENT.","Kendrick Lamar","3053074","https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG","2017-04-18"
"13","Symphony (feat. Zara Larsson)","Clean Bandit","2971971","https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8","2017-04-18"
"14","Despacito (Featuring Daddy Yankee)","Luis Fonsi","2853238","https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2","2017-04-18"
"15","Paris","The Chainsmokers","2611026","https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG","2017-04-18"
"16","LOVE. FEAT. ZACARI.","Kendrick Lamar","2592046","https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As","2017-04-18"
"17","Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo","2518687","https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF","2017-04-18"
"18","Galway Girl","Ed Sheeran","2505862","https://open.spotify.com/track/0afhq8XCExXpqazXczTSve","2017-04-18"
"19","Issues","Julia Michaels","2346013","https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt","2017-04-18"
"20","Sign of the Times","Harry Styles","2292071","https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN","2017-04-18"
"21","XXX. FEAT. U2.","Kendrick Lamar","2291803","https://open.spotify.com/track/4iYRa2btalAzPZoSYfROqF","2017-04-18"
"22","Slide (feat. Frank Ocean & Migos)","Calvin Harris","2282483","https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl","2017-04-18"
"23","Scared to Be Lonely","Martin Garrix","2266781","https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH","2017-04-18"
"24","YAH.","Kendrick Lamar","2264869","https://open.spotify.com/track/4BHSjbYylfOH5WAGusDyni","2017-04-18"
"25","FEEL.","Kendrick Lamar","2179547","https://open.spotify.com/track/2LTlO3NuNVN70lp2ZbVswF","2017-04-18"
"26","PRIDE.","Kendrick Lamar","2112504","https://open.spotify.com/track/6IZvVAP7VPPnsGX6bvgkqg","2017-04-18"
"27","LUST.","Kendrick Lamar","1979369","https://open.spotify.com/track/06FCvd7rrRcF3DdvWH5Isp","2017-04-18"
"28","XO TOUR Llif3","Lil Uzi Vert","1962688","https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq","2017-04-18"
"29","iSpy (feat. Lil Yachty)","KYLE","1903596","https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL","2017-04-18"
"30","You Don't Know Me - Radio Edit","Jax Jones","1892864","https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY","2017-04-18"
"31","Believer","Imagine Dragons","1881374","https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6","2017-04-18"
"32","Cold","Maroon 5","1862255","https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k","2017-04-18"
"33","I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN","1822440","https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0","2017-04-18"
"34","Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit","1784183","https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW","2017-04-18"
"35","FEAR.","Kendrick Lamar","1664010","https://open.spotify.com/track/23luOrEVHMfoX0AhfbQuS6","2017-04-18"
"36","Solo Dance","Martin Jensen","1651394","https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN","2017-04-18"
"37","The One","The Chainsmokers","1638225","https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5","2017-04-18"
"38","Call On Me - Ryan Riback Extended Remix","Starley","1630594","https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde","2017-04-18"
"39","I Feel It Coming","The Weeknd","1588162","https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt","2017-04-18"
"40","BLOOD.","Kendrick Lamar","1584680","https://open.spotify.com/track/1n4jwRVXdkK2U34nBDUKKT","2017-04-18"
"41","SUBEME LA RADIO","Enrique Iglesias","1560313","https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn","2017-04-18"
"42","Location","Khalid","1550037","https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif","2017-04-18"
"43","Castle on the Hill","Ed Sheeran","1549666","https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT","2017-04-18"
"44","GOD.","Kendrick Lamar","1541522","https://open.spotify.com/track/5p3NP9mQblDsVJLdfNZJ3I","2017-04-18"
"45","Congratulations","Post Malone","1515436","https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9","2017-04-18"
"46","Closer","The Chainsmokers","1496040","https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw","2017-04-18"
"47","Me Rehúso","Danny Ocean","1492822","https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl","2017-04-18"
"48","DUCKWORTH.","Kendrick Lamar","1490534","https://open.spotify.com/track/0y9uTzK9cNKSAEHnpeRG8C","2017-04-18"
"49","Chained To The Rhythm","Katy Perry","1490351","https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi","2017-04-18"
"50","Portland","Drake","1439422","https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h","2017-04-18"
"51","Good Life (with G-Eazy & Kehlani)","G-Eazy","1408190","https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E","2017-04-18"
"52","Say You Won't Let Go","James Arthur","1407419","https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh","2017-04-18"
"53","Green Light","Lorde","1389221","https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5","2017-04-18"
"54","Starboy","The Weeknd","1300943","https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z","2017-04-18"
"55","Now Or Never","Halsey","1282787","https://open.spotify.com/track/0Nhu3zSYbEz32IYiobV75e","2017-04-18"
"56","El Amante","Nicky Jam","1229534","https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs","2017-04-18"
"57","Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer","1215021","https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ","2017-04-18"
"58","Perfect","Ed Sheeran","1210538","https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v","2017-04-18"
"59","The Cure","Lady Gaga","1207586","https://open.spotify.com/track/51PIvodunv6NmX5250zxAh","2017-04-18"
"60","Tunnel Vision","Kodak Black","1205120","https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4","2017-04-18"
"61","Selfish (feat. Rihanna)","Future","1204260","https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA","2017-04-18"
"62","Weak","AJR","1204221","https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv","2017-04-18"
"63","Chantaje (feat. Maluma)","Shakira","1181881","https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg","2017-04-18"
"64","Still Got Time","ZAYN","1165268","https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl","2017-04-18"
"65","September Song","JP Cooper","1111406","https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI","2017-04-18"
"66","Touch","Little Mix","1106650","https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z","2017-04-18"
"67","Fake Love","Drake","1070345","https://open.spotify.com/track/343YBumqHu19cGoGARUTsd","2017-04-18"
"68","Happier","Ed Sheeran","1069261","https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB","2017-04-18"
"69","Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version","Pitbull","1054111","https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez","2017-04-18"
"70","No Promises (feat. Demi Lovato)","Cheat Codes","1048430","https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW","2017-04-18"
"71","How Far I'll Go - From ""Moana""","Alessia Cara","1016597","https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN","2017-04-18"
"72","Let Me Love You","DJ Snake","1009010","https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m","2017-04-18"
