"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2017-01-08"
"Position","Track Name","Artist","Streams","URL","2017-01-08"
"1","Shape of You","Ed Sheeran","6557531","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2017-01-08"
"2","Castle on the Hill","Ed Sheeran","4584668","https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT","2017-01-08"
"3","Starboy","The Weeknd","3127938","https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z","2017-01-08"
"4","Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit","2802693","https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW","2017-01-08"
"5","Closer","The Chainsmokers","2697878","https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw","2017-01-08"
"6","I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN","2658820","https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0","2017-01-08"
"7","Say You Won't Let Go","James Arthur","2371671","https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh","2017-01-08"
"8","Don't Wanna Know","Maroon 5","2339709","https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r","2017-01-08"
"9","Fake Love","Drake","2288806","https://open.spotify.com/track/343YBumqHu19cGoGARUTsd","2017-01-08"
"10","Let Me Love You","DJ Snake","2197149","https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m","2017-01-08"
"11","I Feel It Coming","The Weeknd","2183331","https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt","2017-01-08"
"12","24K Magic","Bruno Mars","2070404","https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P","2017-01-08"
"13","Black Beatles","Rae Sremmurd","1934944","https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo","2017-01-08"
"14","Call On Me - Ryan Riback Extended Remix","Starley","1912818","https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde","2017-01-08"
"15","Chantaje (feat. Maluma)","Shakira","1897499","https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg","2017-01-08"
"16","Bad and Boujee (feat. Lil Uzi Vert)","Migos","1746914","https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR","2017-01-08"
"17","Just Hold On","Steve Aoki","1742116","https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR","2017-01-08"
"18","One Dance","Drake","1703538","https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3","2017-01-08"
"19","In the Name of Love","Martin Garrix","1670391","https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L","2017-01-08"
"20","Bad Things (with Camila Cabello)","Machine Gun Kelly","1667236","https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj","2017-01-08"
"21","Cold Water (feat. Justin Bieber & MØ)","Major Lazer","1663606","https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p","2017-01-08"
"22","Side To Side","Ariana Grande","1637378","https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz","2017-01-08"
"23","Mercy","Shawn Mendes","1498777","https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a","2017-01-08"
"24","All We Know","The Chainsmokers","1425231","https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK","2017-01-08"
"25","Starving","Hailee Steinfeld","1373097","https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe","2017-01-08"
"26","My Way","Calvin Harris","1331114","https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm","2017-01-08"
"27","Heathens","Twenty One Pilots","1311680","https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr","2017-01-08"
"28","All Night","The Vamps","1276266","https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW","2017-01-08"
