"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-06-26"
"Position","Track Name","Artist","Streams","URL","2018-06-26"
"1","SAD!","XXXTENTACION","4961099","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2018-06-26"
"2","Girls Like You (feat. Cardi B)","Maroon 5","3930878","https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8","2018-06-26"
"3","Lucid Dreams","Juice WRLD","3929247","https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc","2018-06-26"
"4","Better Now","Post Malone","3816860","https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK","2018-06-26"
"5","I Like It","Cardi B","3798502","https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z","2018-06-26"
"6","One Kiss (with Dua Lipa)","Calvin Harris","3725950","https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6","2018-06-26"
"7","Moonlight","XXXTENTACION","3607722","https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL","2018-06-26"
"8","Solo (feat. Demi Lovato)","Clean Bandit","3360752","https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6","2018-06-26"
"9","Jocelyn Flores","XXXTENTACION","3237031","https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96","2018-06-26"
"10","Back To You","Selena Gomez","3106035","https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9","2018-06-26"
"11","changes","XXXTENTACION","3027361","https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO","2018-06-26"
"12","no tears left to cry","Ariana Grande","2972641","https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9","2018-06-26"
"13","Youngblood","5 Seconds of Summer","2905442","https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE","2018-06-26"
"14","Taste (feat. Offset)","Tyga","2833724","https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy","2018-06-26"
"15","Jackie Chan","Tiësto","2644198","https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp","2018-06-26"
"16","Ocean (feat. Khalid)","Martin Garrix","2495493","https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS","2018-06-26"
"17","Te Boté - Remix","Nio Garcia","2466632","https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i","2018-06-26"
"18","Nice For What","Drake","2390975","https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN","2018-06-26"
"19","X","Nicky Jam","2306502","https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA","2018-06-26"
"20","God's Plan","Drake","2237397","https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE","2018-06-26"
"21","Bed (feat. Ariana Grande)","Nicki Minaj","2192363","https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS","2018-06-26"
"22","Fuck Love (feat. Trippie Redd)","XXXTENTACION","2141635","https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2","2018-06-26"
