"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-03-28"
"Position","Track Name","Artist","Streams","URL","2018-03-28"
"1","God's Plan","Drake","5966554","https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY","2018-03-28"
"2","Psycho (feat. Ty Dolla $ign)","Post Malone","4464119","https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF","2018-03-28"
"3","FRIENDS","Marshmello","3679813","https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G","2018-03-28"
"4","SAD!","XXXTENTACION","3647944","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2018-03-28"
"5","X","Nicky Jam","3613670","https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA","2018-03-28"
"6","IDGAF","Dua Lipa","3325002","https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr","2018-03-28"
"7","The Middle","Zedd","3162706","https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m","2018-03-28"
"8","All The Stars (with SZA)","Kendrick Lamar","3109436","https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s","2018-03-28"
"9","Love Lies (with Normani)","Khalid","2989897","https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk","2018-03-28"
"10","Look Alive (feat. Drake)","BlocBoy JB","2979012","https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL","2018-03-28"
"11","Freaky Friday (feat. Chris Brown)","Lil Dicky","2917456","https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ","2018-03-28"
"12","In My Blood","Shawn Mendes","2837938","https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K","2018-03-28"
"13","Mine","Bazzi","2788172","https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M","2018-03-28"
"14","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental","2763463","https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x","2018-03-28"
"15","rockstar","Post Malone","2383842","https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX","2018-03-28"
"16","Dura","Daddy Yankee","2288270","https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc","2018-03-28"
"17","Havana (feat. Young Thug)","Camila Cabello","2218843","https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W","2018-03-28"
"18","Meant to Be (feat. Florida Georgia Line)","Bebe Rexha","2163058","https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn","2018-03-28"
"19","Moonlight","XXXTENTACION","2020931","https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL","2018-03-28"
"20","Never Be the Same","Camila Cabello","1995665","https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ","2018-03-28"
"21","Me Niego","Reik","1953058","https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T","2018-03-28"
"22","Pray For Me (with Kendrick Lamar)","The Weeknd","1909210","https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x","2018-03-28"
"23","Plug Walk","Rich The Kid","1828789","https://open.spotify.com/track/0gD6lWJhbXHWNVwQziSVvl","2018-03-28"
"24","Like I Do","David Guetta","1764811","https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ","2018-03-28"
"25","New Rules","Dua Lipa","1734264","https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0","2018-03-28"
"26","Lost In Japan","Shawn Mendes","1708912","https://open.spotify.com/track/7wvYmO5QscgIDDT0eNwbYX","2018-03-28"
"27","Échame La Culpa","Luis Fonsi","1702244","https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK","2018-03-28"
"28","Stir Fry","Migos","1697297","https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf","2018-03-28"
"29","Bella","Wolfine","1693822","https://open.spotify.com/track/3xcCix7Jv1Rp90YVmgo35D","2018-03-28"
"30","Amorfoda","Bad Bunny","1639982","https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF","2018-03-28"
"31","Finesse - Remix; feat. Cardi B","Bruno Mars","1622952","https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i","2018-03-28"
"32","Everyday","Logic","1613690","https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk","2018-03-28"
"33","Say Something","Justin Timberlake","1564134","https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS","2018-03-28"
"34","Perfect","Ed Sheeran","1553162","https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v","2018-03-28"
"35","Ric Flair Drip (& Metro Boomin)","Offset","1552575","https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR","2018-03-28"
"36","Shape of You","Ed Sheeran","1541241","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2018-03-28"
"37","Déjala que vuelva (feat. Manuel Turizo)","Piso 21","1535972","https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l","2018-03-28"
"38","Wolves","Selena Gomez","1511499","https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC","2018-03-28"
"39","River (feat. Ed Sheeran)","Eminem","1486157","https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD","2018-03-28"
"40","I Fall Apart","Post Malone","1481030","https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh","2018-03-28"
"41","Mad Love","Sean Paul","1442700","https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf","2018-03-28"
"42","Síguelo Bailando","Ozuna","1413260","https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz","2018-03-28"
"43","Remind Me to Forget","Kygo","1392229","https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80","2018-03-28"
"44","King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock","1352809","https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH","2018-03-28"
"45","Walk It Talk It","Migos","1342486","https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP","2018-03-28"
"46","Sick Boy","The Chainsmokers","1340900","https://open.spotify.com/track/2JfXj2TERIkHwJpnG9f8uX","2018-03-28"
"47","Breathe","Jax Jones","1331678","https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n","2018-03-28"
"48","Let You Down","NF","1327955","https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr","2018-03-28"
"49","Delicate","Taylor Swift","1317991","https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf","2018-03-28"
