"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2017-07-26"
"Position","Track Name","Artist","Streams","URL","2017-07-26"
"1","Despacito - Remix","Luis Fonsi","4560057","https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb","2017-07-26"
"2","Mi Gente","J Balvin","4361877","https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8","2017-07-26"
"3","Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled","3977099","https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi","2017-07-26"
"4","Unforgettable","French Montana","3600162","https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe","2017-07-26"
"5","I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled","3302062","https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817","2017-07-26"
"6","Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris","3277548","https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke","2017-07-26"
"7","2U (feat. Justin Bieber)","David Guetta","3263207","https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M","2017-07-26"
"8","Shape of You","Ed Sheeran","3020577","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2017-07-26"
"9","Attention","Charlie Puth","2957469","https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv","2017-07-26"
"10","Strip That Down","Liam Payne","2840532","https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ","2017-07-26"
"11","Thunder","Imagine Dragons","2721714","https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW","2017-07-26"
"12","Mama","Jonas Blue","2632165","https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w","2017-07-26"
"13","There's Nothing Holdin' Me Back","Shawn Mendes","2423607","https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu","2017-07-26"
