"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2017-06-13"
"Position","Track Name","Artist","Streams","URL","2017-06-13"
"1","Despacito - Remix","Luis Fonsi","6562817","https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb","2017-06-13"
"2","I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled","4591017","https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817","2017-06-13"
"3","2U (feat. Justin Bieber)","David Guetta","4296729","https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M","2017-06-13"
"4","Shape of You","Ed Sheeran","3828268","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2017-06-13"
"5","HUMBLE.","Kendrick Lamar","3311585","https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS","2017-06-13"
"6","Attention","Charlie Puth","3235255","https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv","2017-06-13"
"7","Unforgettable","French Montana","3151451","https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe","2017-06-13"
"8","Strip That Down","Liam Payne","2860988","https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ","2017-06-13"
"9","Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo","2844465","https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF","2017-06-13"
"10","There's Nothing Holdin' Me Back","Shawn Mendes","2780016","https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu","2017-06-13"
"11","XO TOUR Llif3","Lil Uzi Vert","2692040","https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq","2017-06-13"
"12","Despacito (Featuring Daddy Yankee)","Luis Fonsi","2568502","https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2","2017-06-13"
"13","Something Just Like This","The Chainsmokers","2550427","https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW","2017-06-13"
"14","Stay (with Alessia Cara)","Zedd","2493311","https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g","2017-06-13"
"15","Thunder","Imagine Dragons","2414716","https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW","2017-06-13"
"16","Mask Off","Future","2392175","https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8","2017-06-13"
