"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-02-15"
"Position","Track Name","Artist","Streams","URL","2018-02-15"
"1","God's Plan","Drake","6369214","https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY","2018-02-15"
"2","All The Stars (with SZA)","Kendrick Lamar","3854846","https://open.spotify.com/track/2Imq77E6CEJR5TPUxlJvTY","2018-02-15"
"3","Mine","Bazzi","3168868","https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M","2018-02-15"
"4","rockstar","Post Malone","3057045","https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R","2018-02-15"
"5","Pray For Me (with Kendrick Lamar)","The Weeknd","2951924","https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x","2018-02-15"
"6","IDGAF","Dua Lipa","2950526","https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr","2018-02-15"
"7","Havana (feat. Young Thug)","Camila Cabello","2843727","https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W","2018-02-15"
"8","Look Alive (feat. Drake)","BlocBoy JB","2817817","https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL","2018-02-15"
"9","River (feat. Ed Sheeran)","Eminem","2504899","https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD","2018-02-15"
"10","Dura","Daddy Yankee","2469755","https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc","2018-02-15"
"11","Finesse - Remix; feat. Cardi B","Bruno Mars","2455716","https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i","2018-02-15"
"12","The Middle","Zedd","2421835","https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc","2018-02-15"
"13","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental","2357133","https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x","2018-02-15"
"14","FRIENDS","Marshmello","2254665","https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G","2018-02-15"
"15","Never Be the Same","Camila Cabello","2241577","https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ","2018-02-15"
"16","Échame La Culpa","Luis Fonsi","2164884","https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK","2018-02-15"
"17","Wolves","Selena Gomez","2161806","https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC","2018-02-15"
"18","Perfect","Ed Sheeran","2148632","https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v","2018-02-15"
"19","New Rules","Dua Lipa","2060390","https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0","2018-02-15"
"20","Stir Fry","Migos","2033977","https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf","2018-02-15"
"21","Meant to Be (feat. Florida Georgia Line)","Bebe Rexha","1991477","https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn","2018-02-15"
"22","Him & I (with Halsey)","G-Eazy","1980238","https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4","2018-02-15"
"23","I Fall Apart","Post Malone","1951030","https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh","2018-02-15"
"24","Let You Down","NF","1937795","https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr","2018-02-15"
"25","Sick Boy","The Chainsmokers","1934658","https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0","2018-02-15"
"26","For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne","1839678","https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC","2018-02-15"
"27","Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld","1816205","https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y","2018-02-15"
"28","Shape of You","Ed Sheeran","1768975","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2018-02-15"
"29","I Miss You (feat. Julia Michaels)","Clean Bandit","1693485","https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL","2018-02-15"
"30","Bella","Wolfine","1680384","https://open.spotify.com/track/4R55IUi2x7S5ek2SpebOiE","2018-02-15"
"31","Corazón","Maluma","1625661","https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou","2018-02-15"
"32","Rewrite The Stars","Zac Efron","1555327","https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN","2018-02-15"
"33","Déjala que vuelva (feat. Manuel Turizo)","Piso 21","1554587","https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l","2018-02-15"
"34","Downtown","Anitta","1543712","https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D","2018-02-15"
"35","King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock","1542829","https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH","2018-02-15"
"36","What Lovers Do (feat. SZA)","Maroon 5","1511086","https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k","2018-02-15"
"37","Say Something","Justin Timberlake","1494859","https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS","2018-02-15"
"38","Criminal","Natti Natasha","1487483","https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C","2018-02-15"
"39","Too Good At Goodbyes","Sam Smith","1481625","https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV","2018-02-15"
"40","Silence","Marshmello","1470494","https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU","2018-02-15"
"41","X (with 2 Chainz & Saudi)","ScHoolboy Q","1467851","https://open.spotify.com/track/4LmAnpjlhWTahvRkYR8xJa","2018-02-15"
"42","Capital Letters","Hailee Steinfeld","1467836","https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO","2018-02-15"
"43","Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran","1424594","https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI","2018-02-15"
"44","This Is Me","Keala Settle","1410700","https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U","2018-02-15"
"45","The Ways (with Swae Lee)","Khalid","1399876","https://open.spotify.com/track/5jyyPsIGM2yqkZN9R3TmvN","2018-02-15"
"46","Thunder","Imagine Dragons","1363417","https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW","2018-02-15"
"47","Feel It Still","Portugal. The Man","1362047","https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK","2018-02-15"
"48","Sensualidad","Bad Bunny","1338628","https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw","2018-02-15"
"49","XO TOUR Llif3","Lil Uzi Vert","1328059","https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO","2018-02-15"
"50","Narcos","Migos","1298100","https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK","2018-02-15"
"51","Ric Flair Drip (& Metro Boomin)","Offset","1255306","https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR","2018-02-15"
"52","Tip Toe (feat. French Montana)","Jason Derulo","1215897","https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6","2018-02-15"
"53","EL BAÑO","Enrique Iglesias","1201651","https://open.spotify.com/track/2vvdTrdryjsl8DmPIMDWZU","2018-02-15"
