"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2019-01-25"
"Position","Track Name","Artist","Streams","URL","2019-01-25"
"1","7 rings","Ariana Grande","9092057","https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF","2019-01-25"
"2","MIDDLE CHILD","J. Cole","5564318","https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8","2019-01-25"
"3","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","4784609","https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P","2019-01-25"
"4","Wow.","Post Malone","4679178","https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP","2019-01-25"
"5","Without Me","Halsey","4063290","https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C","2019-01-25"
"6","thank u, next","Ariana Grande","3789417","https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH","2019-01-25"
"7","Calma - Remix","Pedro Capó","3505172","https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4","2019-01-25"
"8","Dancing With A Stranger (with Normani)","Sam Smith","3440605","https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki","2019-01-25"
"9","Sweet but Psycho","Ava Max","3234984","https://open.spotify.com/track/25sgk305KZfyuqVBQIahim","2019-01-25"
"10","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","3125307","https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM","2019-01-25"
"11","MIA (feat. Drake)","Bad Bunny","2934722","https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO","2019-01-25"
"12","High Hopes","Panic! At The Disco","2736866","https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom","2019-01-25"
"13","Going Bad (feat. Drake)","Meek Mill","2716936","https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc","2019-01-25"
"14","Adan y Eva","Paulo Londra","2629693","https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk","2019-01-25"
"15","Happier","Marshmello","2609425","https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99","2019-01-25"
"16","SICKO MODE","Travis Scott","2574002","https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h","2019-01-25"
"17","Secreto","Anuel Aa","2545898","https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0","2019-01-25"
"18","Shallow","Lady Gaga","2509241","https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B","2019-01-25"
"19","ZEZE (feat. Travis Scott & Offset)","Kodak Black","2237061","https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z","2019-01-25"
"20","Saturday Nights","Khalid","2184740","https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8","2019-01-25"
"21","Giant (with Rag'n'Bone Man)","Calvin Harris","2142730","https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd","2019-01-25"
"22","Swan Song (From the Motion Picture ""Alita: Battle Angel"")","Dua Lipa","2087501","https://open.spotify.com/track/5600nq7TiBraBX2jobyJ3l","2019-01-25"
"23","Lost in the Fire","Gesaffelstein","2085727","https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG","2019-01-25"
"24","Look Back At It","A Boogie Wit da Hoodie","2014136","https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8","2019-01-25"
"25","Eastside (with Halsey & Khalid)","benny blanco","1990413","https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU","2019-01-25"
"26","Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding","1969742","https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA","2019-01-25"
"27","Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson","1964479","https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF","2019-01-25"
"28","Drip Too Hard (Lil Baby & Gunna)","Lil Baby","1953233","https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE","2019-01-25"
"29","Mo Bamba","Sheck Wes","1952840","https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr","2019-01-25"
"30","Better Now","Post Malone","1811664","https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK","2019-01-25"
"31","when the party's over","Billie Eilish","1801929","https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI","2019-01-25"
"32","Baila Baila Baila","Ozuna","1798814","https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG","2019-01-25"
"33","SAD!","XXXTENTACION","1769610","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2019-01-25"
"34","Desconocidos","Mau y Ricky","1719281","https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ","2019-01-25"
"35","i'm so tired...","Lauv","1717210","https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI","2019-01-25"
"36","Bohemian Rhapsody - Remastered 2011","Queen","1703218","https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J","2019-01-25"
"37","Be Alright","Dean Lewis","1689336","https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm","2019-01-25"
"38","Girls Like You (feat. Cardi B)","Maroon 5","1687249","https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8","2019-01-25"
"39","Arms Around You (feat. Maluma & Swae Lee)","XXXTENTACION","1670947","https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh","2019-01-25"
"40","Ella Quiere Beber - Remix","Anuel Aa","1645904","https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq","2019-01-25"
"41","Adictiva","Daddy Yankee","1630268","https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP","2019-01-25"
