"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-09-22"
"Position","Track Name","Artist","Streams","URL","2018-09-22"
"1","I Love It (& Lil Pump)","Kanye West","5068605","https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ","2018-09-22"
"2","Falling Down - Bonus Track","Lil Peep","4238244","https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q","2018-09-22"
"3","In My Feelings","Drake","3512064","https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ","2018-09-22"
"4","Happier","Marshmello","3357541","https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99","2018-09-22"
"5","In My Mind","Dynoro","3262485","https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33","2018-09-22"
"6","Promises (with Sam Smith)","Calvin Harris","3222062","https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg","2018-09-22"
"7","Lucky You (feat. Joyner Lucas)","Eminem","3153001","https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0","2018-09-22"
"8","Eastside (with Halsey & Khalid)","benny blanco","3145025","https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao","2018-09-22"
"9","SICKO MODE","Travis Scott","2721759","https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h","2018-09-22"
"10","Lucid Dreams","Juice WRLD","2692285","https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf","2018-09-22"
"11","FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine","2586693","https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB","2018-09-22"
"12","Girls Like You (feat. Cardi B)","Maroon 5","2535653","https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8","2018-09-22"
"13","Better","Khalid","2365671","https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J","2018-09-22"
"14","Electricity (with Dua Lipa)","Silk City","2317442","https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk","2018-09-22"
"15","Vaina Loca","Ozuna","2297905","https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA","2018-09-22"
"16","SAD!","XXXTENTACION","2261021","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2018-09-22"
"17","Be Alright","Dean Lewis","2250579","https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm","2018-09-22"
"18","BEBE","6ix9ine","2241722","https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C","2018-09-22"
"19","I Like It","Cardi B","2219024","https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z","2018-09-22"
"20","Taste (feat. Offset)","Tyga","2140495","https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy","2018-09-22"
"21","No Brainer","DJ Khaled","2111874","https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8","2018-09-22"
"22","New Patek","Lil Uzi Vert","1976711","https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud","2018-09-22"
"23","Natural","Imagine Dragons","1951774","https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP","2018-09-22"
"24","Better Now","Post Malone","1950095","https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK","2018-09-22"
"25","Te Boté - Remix","Nio Garcia","1888511","https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i","2018-09-22"
"26","Killshot","Eminem","1853473","https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv","2018-09-22"
"27","Solo (feat. Demi Lovato)","Clean Bandit","1824555","https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6","2018-09-22"
"28","Wake Up in the Sky","Gucci Mane","1771477","https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq","2018-09-22"
"29","breathin","Ariana Grande","1769405","https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J","2018-09-22"
"30","God is a woman","Ariana Grande","1746123","https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C","2018-09-22"
"31","Moonlight","XXXTENTACION","1703353","https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL","2018-09-22"
"32","Rise","Jonas Blue","1700737","https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3","2018-09-22"
"33","Nonstop","Drake","1694509","https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct","2018-09-22"
"34","Youngblood","5 Seconds of Summer","1677629","https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE","2018-09-22"
"35","No Stylist","French Montana","1668202","https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A","2018-09-22"
"36","No Es Justo","J Balvin","1654358","https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7","2018-09-22"
"37","Body (feat. brando)","Loud Luxury","1653635","https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs","2018-09-22"
"38","Jackie Chan","Tiësto","1616888","https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp","2018-09-22"
"39","One Kiss (with Dua Lipa)","Calvin Harris","1615828","https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6","2018-09-22"
"40","Thunderclouds","Sia","1595805","https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi","2018-09-22"
"41","Shotgun","George Ezra","1560839","https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC","2018-09-22"
"42","Beautiful (feat. Camila Cabello)","Bazzi","1547546","https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF","2018-09-22"
"43","God's Plan","Drake","1521909","https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn","2018-09-22"
