"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-08-30"
"Position","Track Name","Artist","Streams","URL","2018-08-30"
"1","In My Feelings","Drake","4777014","https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ","2018-08-30"
"2","Girls Like You (feat. Cardi B)","Maroon 5","3517541","https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8","2018-08-30"
"3","Eastside (with Halsey & Khalid)","benny blanco","3418502","https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao","2018-08-30"
"4","FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine","3337816","https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB","2018-08-30"
"5","SICKO MODE","Travis Scott","3292568","https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h","2018-08-30"
"6","Lucid Dreams","Juice WRLD","3217259","https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf","2018-08-30"
"7","No Brainer","DJ Khaled","3023540","https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8","2018-08-30"
"8","In My Mind","Dynoro","3020962","https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33","2018-08-30"
"9","Promises (with Sam Smith)","Calvin Harris","2984042","https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg","2018-08-30"
"10","God is a woman","Ariana Grande","2945080","https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C","2018-08-30"
"11","Taste (feat. Offset)","Tyga","2742013","https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy","2018-08-30"
"12","breathin","Ariana Grande","2674358","https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J","2018-08-30"
"13","Happier","Marshmello","2673293","https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99","2018-08-30"
"14","I Like It","Cardi B","2633313","https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z","2018-08-30"
