,Artist,api_artist,api_url,artist_api_id,genres
367,Famous Dex,Famous Dex,https://open.spotify.com/artist/0WOxhx4hikIsyF3CRPLC8W,0WOxhx4hikIsyF3CRPLC8W,"['chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop', 'vapor trap']"
368,Mariah Carey,Mariah Carey,https://open.spotify.com/artist/4iHNK0tOyZPYnBU7nGAgpQ,4iHNK0tOyZPYnBU7nGAgpQ,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
369,6ix9ine,6ix9ine,https://open.spotify.com/artist/7gZfnEnfiaHzxARJ2LeXrf,7gZfnEnfiaHzxARJ2LeXrf,['emo rap']
370,Lil Peep,Lil Peep,https://open.spotify.com/artist/2kCcBybjl3SAtIcwdWpUe3,2kCcBybjl3SAtIcwdWpUe3,"['emo rap', 'lgbtq+ hip hop']"
371,Diplo,Diplo,https://open.spotify.com/artist/5fMUXHkw8R8eOP2RNVYEZX,5fMUXHkw8R8eOP2RNVYEZX,"['bmore', 'edm', 'moombahton', 'ninja', 'pop']"
372,Wham!,Wham!,https://open.spotify.com/artist/5lpH0xAS4fVfLkACg9DAuM,5lpH0xAS4fVfLkACg9DAuM,"['dance pop', 'dance rock', 'disco', 'europop', 'motown', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
373,22 Savage,22 Savage,https://open.spotify.com/artist/7x8MuRMbm9XIldHSJOtoNo,7x8MuRMbm9XIldHSJOtoNo,[]
374,YBN Nahmir,YBN Nahmir,https://open.spotify.com/artist/3gGUMEwIX6XodWsYEvKSal,3gGUMEwIX6XodWsYEvKSal,"['alabama rap', 'rap', 'trap music', 'underground hip hop', 'vapor trap']"
375,Jason Mraz,Jason Mraz,https://open.spotify.com/artist/4phGZZrJZRo4ElhRtViYdl,4phGZZrJZRo4ElhRtViYdl,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']"
376,Craig David,Craig David,https://open.spotify.com/artist/2JyWXPbkqI5ZJa3gwqVa0c,2JyWXPbkqI5ZJa3gwqVa0c,"['british soul', 'dance pop', 'pop', 'r&b', 'tropical house', 'urban contemporary']"
377,Brenda Lee,Brenda Lee,https://open.spotify.com/artist/4cPHsZM98sKzmV26wlwD2W,4cPHsZM98sKzmV26wlwD2W,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'nashville sound', 'rockabilly', 'vocal jazz']"
378,Salmo,Salmo,https://open.spotify.com/artist/3hBQ4zniNdQf1cqqo6hzuW,3hBQ4zniNdQf1cqqo6hzuW,"['italian hip hop', 'italian underground hip hop', 'rap sardegna']"
379,Andy Williams,Andy Williams,https://open.spotify.com/artist/4sj6D0zlMOl25nprDJBiU9,4sj6D0zlMOl25nprDJBiU9,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'mellow gold', 'operatic pop', 'vocal jazz']"
380,Michael Bubl̩,,,,
381,Band Aid,,,,
382,Anita Kerr Singers,Anita Kerr Singers,https://open.spotify.com/artist/0vbEs3DgphJ2RGZqh4qFLT,0vbEs3DgphJ2RGZqh4qFLT,"['ballroom', 'easy listening', 'lounge']"
383,MC's Jhowzinho & Kadinho,MC's Jhowzinho & Kadinho,https://open.spotify.com/artist/2Q4r4Epfaaho06ONTHx7OS,2Q4r4Epfaaho06ONTHx7OS,"['baile pop', 'funk carioca', 'funk ostentacao']"
384,Frank Sinatra,Frank Sinatra,https://open.spotify.com/artist/1Mxqyy3pSjf8kZZL4QVxS0,1Mxqyy3pSjf8kZZL4QVxS0,"['adult standards', 'easy listening', 'lounge']"
385,John Lennon,John Lennon,https://open.spotify.com/artist/4x1nvY2FN8jxqAFA0DA02H,4x1nvY2FN8jxqAFA0DA02H,"['album rock', 'art rock', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock']"
386,Jos̩ Feliciano,,,,
387,Bing Crosby,Bing Crosby,https://open.spotify.com/artist/6ZjFtWeHP9XN7FeKSUe80S,6ZjFtWeHP9XN7FeKSUe80S,"['adult standards', 'big band', 'easy listening', 'lounge', 'vocal jazz']"
388,Jaden,Jaden,https://open.spotify.com/artist/0xOeVMOz2fVg5BJY3N6akT,0xOeVMOz2fVg5BJY3N6akT,"['hip hop', 'pop', 'pop rap', 'rap']"
389,The Pogues,The Pogues,https://open.spotify.com/artist/2wzMOQwNT6ZvVB4amvhFAH,2wzMOQwNT6ZvVB4amvhFAH,"['celtic', 'celtic punk', 'celtic rock', 'folk punk', 'irish folk', 'punk']"
390,Chris Rea,Chris Rea,https://open.spotify.com/artist/5KEG7G8LDYlHgFDqZyEEs2,5KEG7G8LDYlHgFDqZyEEs2,"['art rock', 'blues-rock', 'classic rock', 'mellow gold', 'soft rock']"
391,Paul McCartney,Paul McCartney,https://open.spotify.com/artist/4STHEaNw4mPZ2tzheohgXB,4STHEaNw4mPZ2tzheohgXB,"['album rock', 'art rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']"
392,Shakin' Stevens,Shakin' Stevens,https://open.spotify.com/artist/0wi4yTYlGtEnbGo4ltZTib,0wi4yTYlGtEnbGo4ltZTib,"['new wave pop', 'rock-and-roll', 'rockabilly']"
393,Booba,Booba,https://open.spotify.com/artist/58wXmynHaAWI5hwlPZP3qL,58wXmynHaAWI5hwlPZP3qL,"['belgian hip hop', 'french hip hop', 'rap conscient', 'trap francais']"
394,Nat King Cole,Nat King Cole,https://open.spotify.com/artist/7v4imS0moSyGdXyLgVTIV7,7v4imS0moSyGdXyLgVTIV7,"['adult standards', 'lounge', 'vocal jazz']"
395,Burl Ives,Burl Ives,https://open.spotify.com/artist/0MHgLfmQdutffmvWe5XBTN,0MHgLfmQdutffmvWe5XBTN,"['adult standards', 'american folk revival']"
396,Elvis Presley,Elvis Presley,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,43ZHCT0cAZBISjO8DG9PnE,"['rock-and-roll', 'rockabilly']"
397,Mykola Dmytrovych Leontovych,Mykola Dmytrovych Leontovych,https://open.spotify.com/artist/6lBN3Tzt61u8i9AJoAhKzF,6lBN3Tzt61u8i9AJoAhKzF,"['post-romantic era', 'ukrainian classical']"
398,Perry Como,Perry Como,https://open.spotify.com/artist/5v8jlSmAQfrkTjAlpUfWtu,5v8jlSmAQfrkTjAlpUfWtu,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']"
399,Pentatonix,Pentatonix,https://open.spotify.com/artist/26AHtbjWKiwYzsoGoUZq53,26AHtbjWKiwYzsoGoUZq53,['a cappella']
400,Eartha Kitt,Eartha Kitt,https://open.spotify.com/artist/1AwO9pWEBSBoWdEZu28XDC,1AwO9pWEBSBoWdEZu28XDC,"['adult standards', 'lounge', 'vocal jazz']"
401,Vince Guaraldi Trio,Vince Guaraldi Trio,https://open.spotify.com/artist/4ytkhMSAnrDP8XzRNlw9FS,4ytkhMSAnrDP8XzRNlw9FS,"['adult standards', 'jazz trio']"
402,Trippie Redd,Trippie Redd,https://open.spotify.com/artist/6Xgp2XMz1fhVYe7i6yNAax,6Xgp2XMz1fhVYe7i6yNAax,"['rap', 'trap music']"
403,Britney Spears,Britney Spears,https://open.spotify.com/artist/26dSoYclwsYLMAKD3tpOr4,26dSoYclwsYLMAKD3tpOr4,"['dance pop', 'europop', 'pop', 'pop rap', 'post-teen pop', 'r&b']"
404,Elton John,Elton John,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b,3PhoLpVuITZKcymswpck5b,"['glam rock', 'mellow gold', 'piano rock', 'rock']"
405,Daryl Hall & John Oates,Daryl Hall & John Oates,https://open.spotify.com/artist/77tT1kLj6mCWtFNqiOmP9H,77tT1kLj6mCWtFNqiOmP9H,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
406,Meghan Trainor,Meghan Trainor,https://open.spotify.com/artist/6JL8zeS1NmiOftqZTRgdTz,6JL8zeS1NmiOftqZTRgdTz,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'r&b']"
407,Kylie Minogue,Kylie Minogue,https://open.spotify.com/artist/4RVnAU35WRWra6OZ3CbbMA,4RVnAU35WRWra6OZ3CbbMA,"['australian dance', 'australian pop', 'dance pop', 'electropop', 'eurodance', 'europop', 'new wave pop', 'pop', 'pop rock']"
408,MC Fioti,MC Fioti,https://open.spotify.com/artist/2W6kbe0nm96COrHzNmfLLd,2W6kbe0nm96COrHzNmfLLd,"['funk carioca', 'funk ostentacao']"
409,Bobby Helms,Bobby Helms,https://open.spotify.com/artist/38EmEgXkgK51MT2tPY0EoC,38EmEgXkgK51MT2tPY0EoC,[]
410,Wolfine,Wolfine,https://open.spotify.com/artist/2OnKRchqP7tT0FzTvWIFI7,2OnKRchqP7tT0FzTvWIFI7,"['colombian pop', 'latin']"
411,Huncho Jack,Huncho Jack,https://open.spotify.com/artist/6extd4B6hl8VTmnlhpl2bY,6extd4B6hl8VTmnlhpl2bY,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
412,The Beach Boys,The Beach Boys,https://open.spotify.com/artist/3oDbviiivRWhXwIE8hxkVV,3oDbviiivRWhXwIE8hxkVV,"['baroque pop', 'brill building pop', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']"
413,The Ronettes,The Ronettes,https://open.spotify.com/artist/7CyeXFnOrfC1N6z4naIpgo,7CyeXFnOrfC1N6z4naIpgo,"['brill building pop', 'bubblegum pop', 'classic girl group', 'motown', 'rock-and-roll']"
414,Bruce Springsteen,Bruce Springsteen,https://open.spotify.com/artist/3eqjTLE0HfPfh78zjh6TqT,3eqjTLE0HfPfh78zjh6TqT,"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']"
415,*NSYNC,*NSYNC,https://open.spotify.com/artist/6Ff53KvcvAj5U7Z1vojB5o,6Ff53KvcvAj5U7Z1vojB5o,"['boy band', 'dance pop', 'europop', 'pop']"
416,Idina Menzel,,,,
417,Boney M.,Boney M.,https://open.spotify.com/artist/54R6Y0I7jGUCveDTtI21nb,54R6Y0I7jGUCveDTtI21nb,"['disco', 'europop']"
418,Judy Garland,Judy Garland,https://open.spotify.com/artist/0hItVPjwJLVZrFqOyIsxPf,0hItVPjwJLVZrFqOyIsxPf,"['adult standards', 'hollywood', 'lounge', 'vocal jazz']"
419,Leona Lewis,Leona Lewis,https://open.spotify.com/artist/5lKZWd6HiSCLfnDGrq9RAm,5lKZWd6HiSCLfnDGrq9RAm,"['australian pop', 'british soul', 'dance pop', 'europop', 'neo mellow', 'pop', 'post-teen pop', 'r&b', 'talent show', 'uk pop']"
420,Gwen Stefani,Gwen Stefani,https://open.spotify.com/artist/4yiQZ8tQPux8cPriYMWUFP,4yiQZ8tQPux8cPriYMWUFP,"['australian pop', 'dance pop', 'europop', 'hip pop', 'pop', 'pop rock', 'post-teen pop', 'r&b']"
421,Melanie Thornton,,,,
422,Eagles,Eagles,https://open.spotify.com/artist/0ECwFtbIWEVNwjlrfc6xoL,0ECwFtbIWEVNwjlrfc6xoL,"['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
423,Bryan Adams,Bryan Adams,https://open.spotify.com/artist/3Z02hBLubJxuFJfhacLSDc,3Z02hBLubJxuFJfhacLSDc,"['album rock', 'canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']"
424,Slade,Slade,https://open.spotify.com/artist/10n5lhNDoSMUHWLlnST1yw,10n5lhNDoSMUHWLlnST1yw,"['album rock', 'blues-rock', 'glam rock', 'hard rock', 'rock']"
425,Dean Martin,Dean Martin,https://open.spotify.com/artist/49e4v89VmlDcFCMyDv9wQ9,49e4v89VmlDcFCMyDv9wQ9,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
426,Darlene Love,Darlene Love,https://open.spotify.com/artist/391oLRVmoTkumiN79HkTWu,391oLRVmoTkumiN79HkTWu,['brill building pop']
427,Destiny's Child,Destiny's Child,https://open.spotify.com/artist/1Y8cdNmUJH7yBTd9yOvr5i,1Y8cdNmUJH7yBTd9yOvr5i,"['dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
428,Gene Autry,Gene Autry,https://open.spotify.com/artist/5ixB75BQR3ADoWQkcHQJTs,5ixB75BQR3ADoWQkcHQJTs,"['adult standards', 'cowboy western', 'nashville sound', 'traditional country', 'western swing']"
429,Wizzard,Wizzard,https://open.spotify.com/artist/7823Dim2TzjiQQ9wRQxyi9,7823Dim2TzjiQQ9wRQxyi9,"['classic uk pop', 'glam rock']"
430,Tony Bennett,Tony Bennett,https://open.spotify.com/artist/2lolQgalUvZDfp5vvVtTYV,2lolQgalUvZDfp5vvVtTYV,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
431,Jona Lewie,Jona Lewie,https://open.spotify.com/artist/3nohf4qILMr5aUSOsolwxB,3nohf4qILMr5aUSOsolwxB,['new wave pop']
432,Pretenders,Pretenders,https://open.spotify.com/artist/0GByy3DcfbQwDvXGCWmzv9,0GByy3DcfbQwDvXGCWmzv9,"['album rock', 'art rock', 'classic rock', 'dance rock', 'folk', 'folk rock', 'folk-pop', 'lilith', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'rock', 'roots rock', 'soft rock']"
433,George Ezra,George Ezra,https://open.spotify.com/artist/2ysnwxxNtSgbb9t1m2Ur4j,2ysnwxxNtSgbb9t1m2Ur4j,"['neo-singer-songwriter', 'pop']"
434,Carpenters,Carpenters,https://open.spotify.com/artist/1eEfMU2AhEo7XnKgL7c304,1eEfMU2AhEo7XnKgL7c304,"['adult standards', 'folk', 'mellow gold', 'soft rock']"
