"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2019-04-13"
"Position","Track Name","Artist","Streams","URL","2019-04-13"
"1","bad guy","Billie Eilish","5794684","https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m","2019-04-13"
"2","Old Town Road - Remix","Lil Nas X","5375580","https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7","2019-04-13"
"3","Boy With Luv (feat. Halsey)","BTS","4589347","https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c","2019-04-13"
"4","Old Town Road","Lil Nas X","4305284","https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O","2019-04-13"
"5","SOS","Avicii","4140250","https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP","2019-04-13"
"6","Con Calma","Daddy Yankee","4050162","https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m","2019-04-13"
"7","7 rings","Ariana Grande","3420737","https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF","2019-04-13"
"8","Sucker","Jonas Brothers","3188784","https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO","2019-04-13"
"9","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","3185285","https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P","2019-04-13"
"10","Wow.","Post Malone","2749199","https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP","2019-04-13"
"11","bury a friend","Billie Eilish","2650548","https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF","2019-04-13"
"12","Kill This Love","BLACKPINK","2649936","https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn","2019-04-13"
"13","Shallow","Lady Gaga","2643874","https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B","2019-04-13"
"14","Don't Call Me Up","Mabel","2536532","https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8","2019-04-13"
"15","Pa Mí - Remix","Dalex","2385374","https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH","2019-04-13"
"16","HP","Maluma","2366224","https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW","2019-04-13"
"17","Calma - Remix","Pedro Capó","2360250","https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4","2019-04-13"
"18","Talk","Khalid","2359053","https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq","2019-04-13"
"19","wish you were gay","Billie Eilish","2216800","https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD","2019-04-13"
"20","Sweet but Psycho","Ava Max","2145097","https://open.spotify.com/track/25sgk305KZfyuqVBQIahim","2019-04-13"
"21","Dancing With A Stranger (with Normani)","Sam Smith","2126913","https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki","2019-04-13"
"22","Mikrokosmos","BTS","2095060","https://open.spotify.com/track/5hnbE5BF2e8BCk9OMR1UVC","2019-04-13"
"23","Happier","Marshmello","2079219","https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99","2019-04-13"
"24","Baila Baila Baila","Ozuna","2077744","https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG","2019-04-13"
"25","Here With Me","Marshmello","2068841","https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac","2019-04-13"
"26","Make It Right","BTS","2051603","https://open.spotify.com/track/6KUE0HSSudAp9AOycaF6SH","2019-04-13"
"27","Secreto","Anuel Aa","1987500","https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0","2019-04-13"
"28","HOME","BTS","1961912","https://open.spotify.com/track/7lthOBXNue2IvedLRfkod8","2019-04-13"
"29","when the party's over","Billie Eilish","1957132","https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I","2019-04-13"
"30","break up with your girlfriend, i'm bored","Ariana Grande","1951528","https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS","2019-04-13"
"31","Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie","1949913","https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6","2019-04-13"
"32","MIDDLE CHILD","J. Cole","1923000","https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8","2019-04-13"
"33","Let Me Down Slowly","Alec Benjamin","1843194","https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d","2019-04-13"
"34","Without Me","Halsey","1808431","https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C","2019-04-13"
"35","i'm so tired...","Lauv","1797231","https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI","2019-04-13"
"36","Dionysus","BTS","1778922","https://open.spotify.com/track/6JdS5rJvJaRA7B1tcm7kxZ","2019-04-13"
"37","Verte Ir","DJ Luian","1752429","https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR","2019-04-13"
"38","thank u, next","Ariana Grande","1751674","https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ","2019-04-13"
"39","Jamais Vu","BTS","1749395","https://open.spotify.com/track/0eeeyCAGnGZInPtpkdYiPa","2019-04-13"
"40","Outta My Head (with John Mayer)","Khalid","1738581","https://open.spotify.com/track/09oZ9eXQ2fo6YDrPzJqAoP","2019-04-13"
"41","Te Robaré","Nicky Jam","1706552","https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw","2019-04-13"
"42","Con Altura","ROSALÍA","1680886","https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM","2019-04-13"
"43","Going Bad (feat. Drake)","Meek Mill","1664114","https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc","2019-04-13"
"44","High Hopes","Panic! At The Disco","1620622","https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom","2019-04-13"
"45","Murder On My Mind","YNW Melly","1578487","https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC","2019-04-13"
"46","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","1577881","https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM","2019-04-13"
"47","On My Way","Alan Walker","1541448","https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq","2019-04-13"
"48","Sanguine Paradise","Lil Uzi Vert","1525937","https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN","2019-04-13"
"49","Better","Khalid","1497877","https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ","2019-04-13"
"50","Intro : Persona","BTS","1494975","https://open.spotify.com/track/2isSdmQfVv32j2haL6hk9x","2019-04-13"
"51","Tal Vez","Paulo Londra","1490569","https://open.spotify.com/track/46lvmzK8wxAy66tjzXXSh0","2019-04-13"
"52","MONOPOLY (with Victoria Monét)","Ariana Grande","1488955","https://open.spotify.com/track/6tsOcBnaKgzK22yEiqRh8P","2019-04-13"
"53","Bohemian Rhapsody - Remastered 2011","Queen","1475053","https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv","2019-04-13"
"54","Adan y Eva","Paulo Londra","1458973","https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk","2019-04-13"
"55","all the good girls go to hell","Billie Eilish","1441638","https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx","2019-04-13"
"56","lovely","Billie Eilish","1438903","https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf","2019-04-13"
"57","Giant (with Rag'n'Bone Man)","Calvin Harris","1422926","https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd","2019-04-13"
"58","MIA (feat. Drake)","Bad Bunny","1402276","https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO","2019-04-13"
"59","Desconocidos","Mau y Ricky","1401191","https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ","2019-04-13"
"60","you should see me in a crown","Billie Eilish","1383243","https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d","2019-04-13"
"61","Pure Water (with Migos)","Mustard","1370672","https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp","2019-04-13"
"62","I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco","1358690","https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt","2019-04-13"
"63","Te Vi","Piso 21","1343815","https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd","2019-04-13"
"64","So Am I","Ava Max","1342138","https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7","2019-04-13"
"65","My Bad","Khalid","1334846","https://open.spotify.com/track/2XKFnwB6djxrJCjR3PdeRb","2019-04-13"
"66","Someone You Loved","Lewis Capaldi","1326886","https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc","2019-04-13"
"67","Better Now","Post Malone","1306214","https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK","2019-04-13"
"68","my strange addiction","Billie Eilish","1303228","https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK","2019-04-13"
"69","Eastside (with Halsey & Khalid)","benny blanco","1300397","https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU","2019-04-13"
"70","xanny","Billie Eilish","1290562","https://open.spotify.com/track/4QIo4oxwzzafcBWkKjDpXY","2019-04-13"
"71","Un Año","Sebastian Yatra","1288129","https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0","2019-04-13"
"72","Who Do You Love","The Chainsmokers","1266263","https://open.spotify.com/track/7ql71hBakyMi0Lxiq3Mugs","2019-04-13"
"73","SICKO MODE","Travis Scott","1261301","https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h","2019-04-13"
"74","rockstar (feat. 21 Savage)","Post Malone","1202737","https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt","2019-04-13"
"75","Amanece","Anuel Aa","1192458","https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH","2019-04-13"
"76","Contra La Pared","Sean Paul","1182172","https://open.spotify.com/track/3JjaofJ0lCeEsFSZqppzOp","2019-04-13"
"77","Robbery","Juice WRLD","1181128","https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ","2019-04-13"
"78","Girls Like You (feat. Cardi B)","Maroon 5","1172485","https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8","2019-04-13"
"79","Ella Quiere Beber - Remix","Anuel Aa","1171926","https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw","2019-04-13"
"80","Esclavo de Tus Besos","Manuel Turizo","1171336","https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX","2019-04-13"
"81","Please Me","Cardi B","1150303","https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN","2019-04-13"
"82","Look Back At It","A Boogie Wit da Hoodie","1148943","https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8","2019-04-13"
"83","Racks In The Middle (feat. Roddy Ricch and Hit-Boy)","Nipsey Hussle","1133449","https://open.spotify.com/track/6ya8ejoKgw906Y8LWclqrp","2019-04-13"
"84","Be Alright","Dean Lewis","1130486","https://open.spotify.com/track/2H4gf1wLxvYreMj1jcaN0k","2019-04-13"
"85","Rolex","Capital Bra","1129510","https://open.spotify.com/track/38lQ7lYhN3eSWepnZHaiBF","2019-04-13"
"86","Mixed Personalities (feat. Kanye West)","YNW Melly","1106391","https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL","2019-04-13"
