"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-10-19"
"Position","Track Name","Artist","Streams","URL","2018-10-19"
"1","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","5932448","https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM","2018-10-19"
"2","MIA (feat. Drake)","Bad Bunny","5399877","https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO","2018-10-19"
"3","ZEZE (feat. Travis Scott & Offset)","Kodak Black","4089613","https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA","2018-10-19"
"4","Happier","Marshmello","3952704","https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99","2018-10-19"
"5","Shallow","Lady Gaga","3462571","https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B","2018-10-19"
"6","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","3413611","https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8","2018-10-19"
"7","Better","Khalid","3411739","https://open.spotify.com/track/2OpBganfGk2GVdSlRdxzaX","2018-10-19"
"8","Without Me","Halsey","2982649","https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C","2018-10-19"
"9","Promises (with Sam Smith)","Calvin Harris","2912176","https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg","2018-10-19"
"10","I Love It (& Lil Pump)","Kanye West","2786440","https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ","2018-10-19"
"11","Eastside (with Halsey & Khalid)","benny blanco","2765534","https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao","2018-10-19"
"12","In My Mind","Dynoro","2733356","https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33","2018-10-19"
"13","Falling Down - Bonus Track","Lil Peep","2619933","https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q","2018-10-19"
"14","SICKO MODE","Travis Scott","2617873","https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h","2018-10-19"
"15","Fine China","Future","2612845","https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN","2018-10-19"
"16","Girls Like You (feat. Cardi B)","Maroon 5","2581247","https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8","2018-10-19"
"17","Lucid Dreams","Juice WRLD","2421523","https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf","2018-10-19"
"18","when the party's over","Billie Eilish","2343995","https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI","2018-10-19"
"19","Suncity (feat. Empress Of)","Khalid","2304182","https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN","2018-10-19"
"20","In My Feelings","Drake","2225407","https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ","2018-10-19"
"21","Kiss and Make Up","Dua Lipa","2216989","https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3","2018-10-19"
"22","Drip Too Hard (Lil Baby & Gunna)","Lil Baby","2215894","https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE","2018-10-19"
"23","SAD!","XXXTENTACION","2177006","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2018-10-19"
"24","Mo Bamba","Sheck Wes","2171253","https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr","2018-10-19"
"25","Be Alright","Dean Lewis","2168249","https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm","2018-10-19"
"26","Moonlight","XXXTENTACION","2128127","https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL","2018-10-19"
"27","Better Now","Post Malone","2073921","https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK","2018-10-19"
"28","Vaina Loca","Ozuna","2062335","https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA","2018-10-19"
"29","BEBE","6ix9ine","2024009","https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C","2018-10-19"
"30","Let You Love Me","Rita Ora","1893806","https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS","2018-10-19"
"31","Electricity (with Dua Lipa)","Silk City","1887972","https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk","2018-10-19"
"32","I Like It","Cardi B","1878227","https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z","2018-10-19"
"33","No Stylist","French Montana","1806680","https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A","2018-10-19"
"34","Taste (feat. Offset)","Tyga","1800869","https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy","2018-10-19"
"35","Sweet but Psycho","Ava Max","1798791","https://open.spotify.com/track/25sgk305KZfyuqVBQIahim","2018-10-19"
"36","Vertigo","Khalid","1752300","https://open.spotify.com/track/06GcodDliPWAYFX2LSFLIu","2018-10-19"
"37","FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine","1742082","https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB","2018-10-19"
"38","This Feeling (feat. Kelsea Ballerini)","The Chainsmokers","1719275","https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N","2018-10-19"
"39","Woman Like Me (feat. Nicki Minaj)","Little Mix","1716009","https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1","2018-10-19"
"40","Natural","Imagine Dragons","1708654","https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP","2018-10-19"
"41","Youngblood","5 Seconds of Summer","1679639","https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE","2018-10-19"
