"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-06-08"
"Position","Track Name","Artist","Streams","URL","2018-06-08"
"1","Better Now","Post Malone","4629925","https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK","2018-06-08"
"2","One Kiss (with Dua Lipa)","Calvin Harris","4391946","https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6","2018-06-08"
"3","I Like It","Cardi B","3772038","https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z","2018-06-08"
"4","Back To You","Selena Gomez","3546654","https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9","2018-06-08"
"5","Nice For What","Drake","3448332","https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN","2018-06-08"
"6","All Mine","Kanye West","3317334","https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF","2018-06-08"
"7","no tears left to cry","Ariana Grande","3290645","https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9","2018-06-08"
"8","Lucid Dreams","Juice WRLD","3113353","https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc","2018-06-08"
"9","Girls Like You (feat. Cardi B)","Maroon 5","3051949","https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W","2018-06-08"
"10","Te Boté - Remix","Nio Garcia","2995394","https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i","2018-06-08"
"11","God's Plan","Drake","2970115","https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY","2018-06-08"
"12","Solo (feat. Demi Lovato)","Clean Bandit","2880738","https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6","2018-06-08"
"13","X","Nicky Jam","2880003","https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA","2018-06-08"
"14","Youngblood","5 Seconds of Summer","2686303","https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw","2018-06-08"
"15","Psycho (feat. Ty Dolla $ign)","Post Malone","2616020","https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C","2018-06-08"
"16","This Is America","Childish Gambino","2491918","https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9","2018-06-08"
"17","FRIENDS","Marshmello","2409815","https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G","2018-06-08"
"18","Ghost Town","Kanye West","2362477","https://open.spotify.com/track/6Bg7MznA9X0dIhlAsLyBYj","2018-06-08"
"19","Yikes","Kanye West","2301191","https://open.spotify.com/track/2r4JRwcbIeuAzWjH4YXlLs","2018-06-08"
"20","Nevermind","Dennis Lloyd","2231850","https://open.spotify.com/track/63SevszngYpZOwf63o61K4","2018-06-08"
"21","rockstar (feat. 21 Savage)","Post Malone","2168384","https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt","2018-06-08"
"22","Yes Indeed","Lil Baby","2157167","https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ","2018-06-08"
"23","Flames","David Guetta","2139524","https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV","2018-06-08"
"24","Taste (feat. Offset)","Tyga","1995333","https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy","2018-06-08"
"25","Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky","1975565","https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z","2018-06-08"
"26","Love Lies (with Normani)","Khalid","1951218","https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk","2018-06-08"
"27","I'm Upset","Drake","1947890","https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk","2018-06-08"
"28","lovely (with Khalid)","Billie Eilish","1914948","https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4","2018-06-08"
"29","The Middle","Zedd","1880491","https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m","2018-06-08"
"30","In My Blood","Shawn Mendes","1872133","https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4","2018-06-08"
"31","2002","Anne-Marie","1845551","https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB","2018-06-08"
"32","Look Alive (feat. Drake)","BlocBoy JB","1813106","https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL","2018-06-08"
"33","IDGAF","Dua Lipa","1802800","https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr","2018-06-08"
"34","Sin Pijama","Becky G","1784602","https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww","2018-06-08"
"35","Playinwitme (feat. Kehlani)","KYLE","1731830","https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr","2018-06-08"
"36","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental","1686616","https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x","2018-06-08"
"37","Me Niego","Reik","1658380","https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T","2018-06-08"
"38","Youth feat. Khalid","Shawn Mendes","1645328","https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z","2018-06-08"
"39","Freaky Friday (feat. Chris Brown)","Lil Dicky","1605622","https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ","2018-06-08"
"40","OTW","Khalid","1600490","https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI","2018-06-08"
"41","Call Out My Name","The Weeknd","1562430","https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N","2018-06-08"
"42","Jackie Chan","Tiësto","1539427","https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp","2018-06-08"
"43","Remind Me to Forget","Kygo","1530283","https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80","2018-06-08"
"44","SAD!","XXXTENTACION","1493500","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2018-06-08"
"45","Meant to Be (feat. Florida Georgia Line)","Bebe Rexha","1435677","https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn","2018-06-08"
"46","Wouldn't Leave","Kanye West","1430050","https://open.spotify.com/track/3dG6tjetoR4GMmUGZUprLt","2018-06-08"
"47","Violent Crimes","Kanye West","1428417","https://open.spotify.com/track/2VYb3Fb5iK5Y8HGZ8oEEkp","2018-06-08"
"48","Havana (feat. Young Thug)","Camila Cabello","1411093","https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W","2018-06-08"
"49","1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes","1357901","https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b","2018-06-08"
"50","Dura - Remix","Daddy Yankee","1306137","https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb","2018-06-08"
"51","Shape of You","Ed Sheeran","1276988","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2018-06-08"
"52","Plug Walk","Rich The Kid","1243921","https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ","2018-06-08"
"53","New Rules","Dua Lipa","1228202","https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0","2018-06-08"
"54","I Thought About Killing You","Kanye West","1220135","https://open.spotify.com/track/6EuE9M1viu9gkdFSafia9o","2018-06-08"
"55","All Girls Are The Same","Juice WRLD","1219596","https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8","2018-06-08"
"56","La Player (Bandolera)","Zion & Lennox","1217751","https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP","2018-06-08"
"57","Ball For Me (feat. Nicki Minaj)","Post Malone","1204264","https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa","2018-06-08"
"58","Mine","Bazzi","1198695","https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR","2018-06-08"
"59","All The Stars (with SZA)","Kendrick Lamar","1196198","https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s","2018-06-08"
"60","Walk It Talk It","Migos","1190207","https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP","2018-06-08"
"61","No Mistakes","Kanye West","1189254","https://open.spotify.com/track/1DdgqEZk4Hqfpl3drdXJun","2018-06-08"
"62","Clandestino","Shakira","1174190","https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf","2018-06-08"
"63","Síguelo Bailando","Ozuna","1155201","https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz","2018-06-08"
"64","Somebody","The Chainsmokers","1146459","https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl","2018-06-08"
"65","Ric Flair Drip (& Metro Boomin)","Offset","1142988","https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR","2018-06-08"
"66","Paranoid","Post Malone","1126308","https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq","2018-06-08"
"67","New Light","John Mayer","1116350","https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV","2018-06-08"
"68","Familiar","Liam Payne","1113533","https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A","2018-06-08"
"69","Madura (feat. Bad Bunny)","Cosculluela","1113366","https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN","2018-06-08"
"70","La Cintura","Alvaro Soler","1106391","https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H","2018-06-08"
"71","I'll Be There","Jess Glynne","1106228","https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn","2018-06-08"
"72","El Préstamo","Maluma","1094391","https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz","2018-06-08"
"73","FAKE LOVE","BTS","1078958","https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo","2018-06-08"
"74","Freeee (Ghost Town Pt. 2)","KIDS SEE GHOSTS","1074961","https://open.spotify.com/track/7GRTrWsP3yo2Fx8umJfA1X","2018-06-08"
"75","Perfect","Ed Sheeran","1072931","https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v","2018-06-08"
"76","I Fall Apart","Post Malone","1067735","https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh","2018-06-08"
"77","Dura","Daddy Yankee","1056357","https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc","2018-06-08"
"78","Audio","Sia","1048009","https://open.spotify.com/track/7boPPE857KEqCIHNwFkDop","2018-06-08"
"79","4th Dimension","KIDS SEE GHOSTS","1046155","https://open.spotify.com/track/5cQMfg4AEejKUfNA44ZGep","2018-06-08"
"80","Like I Do","David Guetta","1040239","https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ","2018-06-08"
"81","Nervous","Shawn Mendes","1028428","https://open.spotify.com/track/0Dq49j3dELbttQVUJbtn0c","2018-06-08"
"82","Échame La Culpa","Luis Fonsi","1020453","https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK","2018-06-08"
"83","Girls (feat. Cardi B, Bebe Rexha & Charli XCX)","Rita Ora","1012852","https://open.spotify.com/track/1YNQscOx6OqBQjxgJVhEeW","2018-06-08"
"84","Spoil My Night (feat. Swae Lee)","Post Malone","1010188","https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv","2018-06-08"
"85","Candy Paint","Post Malone","1003884","https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC","2018-06-08"
"86","Por Perro","Sebastian Yatra","993758","https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ","2018-06-08"
"87","Believer","Imagine Dragons","972014","https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4","2018-06-08"
"88","Cudi Montage","KIDS SEE GHOSTS","971583","https://open.spotify.com/track/4ffyvGU97UkoUkHEOPzPZT","2018-06-08"
"89","Kids See Ghosts","KIDS SEE GHOSTS","958848","https://open.spotify.com/track/0ORk2pZ1dogkyfcdFfFKt8","2018-06-08"
"90","Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd","946622","https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci","2018-06-08"
"91","JAPAN","Famous Dex","942628","https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl","2018-06-08"
"92","Thunder","Imagine Dragons","937002","https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn","2018-06-08"
"93","Feel The Love","KIDS SEE GHOSTS","935620","https://open.spotify.com/track/10lgpgAGhQBv0WqcrzGM7D","2018-06-08"
"94","Bella - Remix","Wolfine","934574","https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56","2018-06-08"
"95","Stay","Post Malone","918465","https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc","2018-06-08"
"96","Mad Love","Sean Paul","915924","https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf","2018-06-08"
"97","Te Amo","Piso 21","914456","https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH","2018-06-08"
"98","Déjala que vuelva (feat. Manuel Turizo)","Piso 21","912856","https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G","2018-06-08"
"99","XO TOUR Llif3","Lil Uzi Vert","911822","https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO","2018-06-08"
"100","TATI","6ix9ine","901339","https://open.spotify.com/track/6kp0inxIexxSiDJfWqq0ZL","2018-06-08"
"101","Start Again (feat. Logic)","OneRepublic","899529","https://open.spotify.com/track/1Nj2oBISdFDSF8eDuXcALz","2018-06-08"
"102","Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2","Diplo","898934","https://open.spotify.com/track/5mqzhMuUpvnMfwNz6iepmO","2018-06-08"
"103","Rich & Sad","Post Malone","891487","https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc","2018-06-08"
"104","Wake Me Up - Radio Edit","Avicii","880681","https://open.spotify.com/track/6g1NlCpW7fgqDnWbCCDrHl","2018-06-08"
"105","Happier","Ed Sheeran","850714","https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB","2018-06-08"
"106","Wolves","Selena Gomez","842456","https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC","2018-06-08"
"107","Criminal","Natti Natasha","841163","https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C","2018-06-08"
"108","Congratulations","Post Malone","833327","https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9","2018-06-08"
"109","Never Be the Same","Camila Cabello","832566","https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ","2018-06-08"
"110","Unica","Ozuna","830177","https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO","2018-06-08"
"111","Dembow","Danny Ocean","828204","https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2","2018-06-08"
"112","Ambiente","J Balvin","827068","https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq","2018-06-08"
"113","HUMBLE.","Kendrick Lamar","823323","https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS","2018-06-08"
"114","Done for Me (feat. Kehlani)","Charlie Puth","818163","https://open.spotify.com/track/1lsBTdE6MGsKeZCD6llNu7","2018-06-08"
"115","KOD","J. Cole","810678","https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI","2018-06-08"
"116","Watch (feat. Lil Uzi Vert & Kanye West)","Travis Scott","810374","https://open.spotify.com/track/3DoBTwfr8yi2LN08SBpFkN","2018-06-08"
