"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2017-08-26"
"Position","Track Name","Artist","Streams","URL","2017-08-26"
"1","Look What You Made Me Do","Taylor Swift","5429680","https://open.spotify.com/track/2VjtYe7gpfUi2OkGxR2O2z","2017-08-26"
"2","Mi Gente","J Balvin","4967261","https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8","2017-08-26"
"3","Friends (with BloodPop®)","Justin Bieber","3547261","https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz","2017-08-26"
"4","New Rules","Dua Lipa","3425110","https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0","2017-08-26"
"5","Unforgettable","French Montana","3375578","https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe","2017-08-26"
"6","Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled","3288684","https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi","2017-08-26"
"7","Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris","3262882","https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke","2017-08-26"
"8","Despacito - Remix","Luis Fonsi","3229992","https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb","2017-08-26"
"9","Sorry Not Sorry","Demi Lovato","2738556","https://open.spotify.com/track/25C5CowdsfXld2jJanbiex","2017-08-26"
"10","Shape of You","Ed Sheeran","2706058","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2017-08-26"
"11","Attention","Charlie Puth","2658341","https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv","2017-08-26"
"12","XO TOUR Llif3","Lil Uzi Vert","2637501","https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO","2017-08-26"
"13","2U (feat. Justin Bieber)","David Guetta","2623549","https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M","2017-08-26"
"14","Strip That Down","Liam Payne","2519976","https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ","2017-08-26"
"15","Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson","2485465","https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6","2017-08-26"
"16","Thunder","Imagine Dragons","2469190","https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW","2017-08-26"
"17","More Than You Know","Axwell /\ Ingrosso","2435493","https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs","2017-08-26"
"18","Havana","Camila Cabello","2430349","https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb","2017-08-26"
"19","Mama","Jonas Blue","2369722","https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w","2017-08-26"
"20","I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled","2251842","https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817","2017-08-26"
"21","Glorious (feat. Skylar Grey)","Macklemore","2158092","https://open.spotify.com/track/3HVr6jTVwBHBa2flM0eURR","2017-08-26"
"22","Silence","Marshmello","2136871","https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU","2017-08-26"
"23","There's Nothing Holdin' Me Back","Shawn Mendes","2087120","https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu","2017-08-26"
"24","Me Rehúso","Danny Ocean","2075957","https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl","2017-08-26"
