"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2017-08-22"
"Position","Track Name","Artist","Streams","URL","2017-08-22"
"1","Mi Gente","J Balvin","4447134","https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8","2017-08-22"
"2","Friends (with BloodPop®)","Justin Bieber","3613098","https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz","2017-08-22"
"3","Unforgettable","French Montana","3286004","https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe","2017-08-22"
"4","Despacito - Remix","Luis Fonsi","3245274","https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb","2017-08-22"
"5","Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris","3157890","https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke","2017-08-22"
"6","New Rules","Dua Lipa","3116153","https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0","2017-08-22"
"7","Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled","3104435","https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi","2017-08-22"
"8","2U (feat. Justin Bieber)","David Guetta","2712466","https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M","2017-08-22"
"9","Attention","Charlie Puth","2674883","https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv","2017-08-22"
"10","Shape of You","Ed Sheeran","2601178","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2017-08-22"
"11","Sorry Not Sorry","Demi Lovato","2593307","https://open.spotify.com/track/25C5CowdsfXld2jJanbiex","2017-08-22"
"12","Strip That Down","Liam Payne","2494431","https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ","2017-08-22"
"13","I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled","2467463","https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817","2017-08-22"
"14","Thunder","Imagine Dragons","2449521","https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW","2017-08-22"
"15","More Than You Know","Axwell /\ Ingrosso","2384322","https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs","2017-08-22"
"16","Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson","2351830","https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6","2017-08-22"
"17","Mama","Jonas Blue","2306843","https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w","2017-08-22"
"18","XO TOUR Llif3","Lil Uzi Vert","2136604","https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq","2017-08-22"
"19","Glorious (feat. Skylar Grey)","Macklemore","2112267","https://open.spotify.com/track/3HVr6jTVwBHBa2flM0eURR","2017-08-22"
"20","There's Nothing Holdin' Me Back","Shawn Mendes","2037278","https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu","2017-08-22"
"21","Without You (feat. Sandro Cavazza)","Avicii","2019092","https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE","2017-08-22"
"22","Havana","Camila Cabello","1950903","https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb","2017-08-22"
"23","Bank Account","21 Savage","1884807","https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s","2017-08-22"
