"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-09-09"
"Position","Track Name","Artist","Streams","URL","2018-09-09"
"1","In My Feelings","Drake","3778997","https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ","2018-09-09"
"2","Lucky You (feat. Joyner Lucas)","Eminem","3247729","https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0","2018-09-09"
"3","I Love It (& Lil Pump)","Kanye West","3194701","https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ","2018-09-09"
"4","Eastside (with Halsey & Khalid)","benny blanco","3094009","https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao","2018-09-09"
"5","Promises (with Sam Smith)","Calvin Harris","2949774","https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg","2018-09-09"
"6","Girls Like You (feat. Cardi B)","Maroon 5","2816669","https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8","2018-09-09"
"7","Happier","Marshmello","2639963","https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99","2018-09-09"
"8","In My Mind","Dynoro","2634872","https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33","2018-09-09"
"9","FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine","2619281","https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB","2018-09-09"
"10","Lucid Dreams","Juice WRLD","2565738","https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf","2018-09-09"
"11","SICKO MODE","Travis Scott","2495389","https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h","2018-09-09"
"12","No Brainer","DJ Khaled","2288680","https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8","2018-09-09"
"13","I Like It","Cardi B","2167858","https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z","2018-09-09"
"14","SAD!","XXXTENTACION","2118633","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2018-09-09"
