"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-11-05"
"Position","Track Name","Artist","Streams","URL","2018-11-05"
"1","thank u, next","Ariana Grande","8197811","https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH","2018-11-05"
"2","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","5175314","https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM","2018-11-05"
"3","MIA (feat. Drake)","Bad Bunny","3770265","https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO","2018-11-05"
"4","Happier","Marshmello","3359574","https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99","2018-11-05"
"5","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","3278307","https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8","2018-11-05"
"6","Shallow","Lady Gaga","3260769","https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B","2018-11-05"
"7","Without Me","Halsey","3045227","https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C","2018-11-05"
"8","Arms Around You (feat. Maluma & Swae Lee)","XXXTENTACION","3018015","https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh","2018-11-05"
"9","ZEZE (feat. Travis Scott & Offset)","Kodak Black","2863752","https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA","2018-11-05"
"10","SICKO MODE","Travis Scott","2612249","https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h","2018-11-05"
"11","Mo Bamba","Sheck Wes","2348632","https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr","2018-11-05"
"12","Better","Khalid","2294785","https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ","2018-11-05"
"13","when the party's over","Billie Eilish","2280626","https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI","2018-11-05"
"14","Bohemian Rhapsody - Remastered 2011","Queen","2247394","https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J","2018-11-05"
"15","Eastside (with Halsey & Khalid)","benny blanco","2110652","https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao","2018-11-05"
"16","Girls Like You (feat. Cardi B)","Maroon 5","2048885","https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8","2018-11-05"
"17","Sweet but Psycho","Ava Max","2030765","https://open.spotify.com/track/25sgk305KZfyuqVBQIahim","2018-11-05"
"18","In My Mind","Dynoro","2029873","https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33","2018-11-05"
"19","Be Alright","Dean Lewis","2021548","https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm","2018-11-05"
"20","Promises (with Sam Smith)","Calvin Harris","1983855","https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg","2018-11-05"
"21","Lucid Dreams","Juice WRLD","1962969","https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf","2018-11-05"
"22","Kiss and Make Up","Dua Lipa","1853270","https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3","2018-11-05"
"23","SAD!","XXXTENTACION","1836015","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2018-11-05"
"24","Drip Too Hard (Lil Baby & Gunna)","Lil Baby","1834752","https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE","2018-11-05"
"25","Falling Down - Bonus Track","Lil Peep","1807349","https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q","2018-11-05"
"26","Woman Like Me (feat. Nicki Minaj)","Little Mix","1788436","https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1","2018-11-05"
"27","Better Now","Post Malone","1780035","https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK","2018-11-05"
"28","I Love It (& Lil Pump)","Kanye West","1763890","https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ","2018-11-05"
"29","Let You Love Me","Rita Ora","1679089","https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS","2018-11-05"
"30","Moonlight","XXXTENTACION","1666718","https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL","2018-11-05"
"31","Vaina Loca","Ozuna","1613798","https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA","2018-11-05"
"32","In My Feelings","Drake","1572399","https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ","2018-11-05"
"33","Always Remember Us This Way","Lady Gaga","1535235","https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk","2018-11-05"
"34","10 Freaky Girls (with 21 Savage)","Metro Boomin","1519637","https://open.spotify.com/track/43lYaovU2FoeuBMNusVVVW","2018-11-05"
"35","BEBE","6ix9ine","1513919","https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C","2018-11-05"
"36","Ruin My Life","Zara Larsson","1505317","https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU","2018-11-05"
"37","Youngblood","5 Seconds of Summer","1480477","https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE","2018-11-05"
"38","Taste (feat. Offset)","Tyga","1457623","https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy","2018-11-05"
"39","Natural","Imagine Dragons","1456504","https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP","2018-11-05"
"40","High Hopes","Panic! At The Disco","1429120","https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom","2018-11-05"
"41","I Like It","Cardi B","1416945","https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z","2018-11-05"
"42","Wake Up in the Sky","Gucci Mane","1414421","https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq","2018-11-05"
"43","Another One Bites The Dust - Remastered 2011","Queen","1407724","https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7","2018-11-05"
"44","breathin","Ariana Grande","1373744","https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J","2018-11-05"
"45","Don't Come Out The House (with 21 Savage)","Metro Boomin","1316013","https://open.spotify.com/track/1m6lqaLvUTxPjOo98fJH8U","2018-11-05"
"46","Te Boté - Remix","Nio Garcia","1308017","https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i","2018-11-05"
"47","FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine","1295851","https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB","2018-11-05"
"48","God is a woman","Ariana Grande","1294319","https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C","2018-11-05"
"49","rockstar (feat. 21 Savage)","Post Malone","1288418","https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt","2018-11-05"
"50","No Stylist","French Montana","1286654","https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A","2018-11-05"
"51","Jocelyn Flores","XXXTENTACION","1281917","https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96","2018-11-05"
"52","Cuando Te Besé","Becky G","1262881","https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy","2018-11-05"
"53","Nonstop","Drake","1240679","https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct","2018-11-05"
"54","Love Someone","Lukas Graham","1235205","https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r","2018-11-05"
"55","Suncity (feat. Empress Of)","Khalid","1228611","https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN","2018-11-05"
