"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-11-26"
"Position","Track Name","Artist","Streams","URL","2018-11-26"
"1","thank u, next","Ariana Grande","5506283","https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH","2018-11-26"
"2","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","4181356","https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM","2018-11-26"
"3","MIA (feat. Drake)","Bad Bunny","3185425","https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO","2018-11-26"
"4","Without Me","Halsey","3029181","https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C","2018-11-26"
"5","Happier","Marshmello","2919267","https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99","2018-11-26"
"6","SICKO MODE","Travis Scott","2799431","https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h","2018-11-26"
"7","ZEZE (feat. Travis Scott & Offset)","Kodak Black","2797364","https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA","2018-11-26"
"8","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","2704889","https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8","2018-11-26"
"9","Arms Around You (feat. Maluma & Swae Lee)","XXXTENTACION","2626735","https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh","2018-11-26"
"10","Shallow","Lady Gaga","2563363","https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B","2018-11-26"
"11","Mo Bamba","Sheck Wes","2426217","https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr","2018-11-26"
"12","Bohemian Rhapsody - Remastered 2011","Queen","2374286","https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J","2018-11-26"
"13","when the party's over","Billie Eilish","2368200","https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI","2018-11-26"
"14","Sweet but Psycho","Ava Max","2300389","https://open.spotify.com/track/25sgk305KZfyuqVBQIahim","2018-11-26"
"15","Adan y Eva","Paulo Londra","2138943","https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk","2018-11-26"
"16","Better","Khalid","2048021","https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ","2018-11-26"
"17","All I Want for Christmas Is You","Mariah Carey","2013815","https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn","2018-11-26"
"18","Drip Too Hard (Lil Baby & Gunna)","Lil Baby","1927144","https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE","2018-11-26"
"19","BAD!","XXXTENTACION","1912790","https://open.spotify.com/track/4CH66Rxcjcj3VBHwmIBj4T","2018-11-26"
"20","Eastside (with Halsey & Khalid)","benny blanco","1883301","https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao","2018-11-26"
"21","come out and play","Billie Eilish","1882355","https://open.spotify.com/track/7wC5eZcFS1Q1BsQ35DU6H4","2018-11-26"
"22","Girls Like You (feat. Cardi B)","Maroon 5","1835283","https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8","2018-11-26"
"23","Lucid Dreams","Juice WRLD","1824714","https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf","2018-11-26"
"24","Be Alright","Dean Lewis","1723461","https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm","2018-11-26"
"25","In My Mind","Dynoro","1708840","https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33","2018-11-26"
"26","Let You Love Me","Rita Ora","1676066","https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP","2018-11-26"
"27","SAD!","XXXTENTACION","1660020","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2018-11-26"
"28","Promises (with Sam Smith)","Calvin Harris","1655574","https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg","2018-11-26"
"29","Ruin My Life","Zara Larsson","1648969","https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU","2018-11-26"
"30","Woman Like Me (feat. Nicki Minaj)","Little Mix","1635866","https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED","2018-11-26"
"31","Bad Liar","Imagine Dragons","1626448","https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3","2018-11-26"
"32","Better Now","Post Malone","1623528","https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK","2018-11-26"
"33","Kiss and Make Up","Dua Lipa","1603225","https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3","2018-11-26"
"34","Falling Down - Bonus Track","Lil Peep","1591860","https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9","2018-11-26"
"35","lovely (with Khalid)","Billie Eilish","1559973","https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4","2018-11-26"
"36","Happy Now","Kygo","1525426","https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4","2018-11-26"
"37","Moonlight","XXXTENTACION","1521871","https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL","2018-11-26"
"38","Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding","1472006","https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA","2018-11-26"
"39","Vaina Loca","Ozuna","1464291","https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA","2018-11-26"
"40","Wake Up in the Sky","Gucci Mane","1458216","https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq","2018-11-26"
"41","Natural","Imagine Dragons","1454344","https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT","2018-11-26"
"42","Another One Bites The Dust - Remastered 2011","Queen","1453511","https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7","2018-11-26"
"43","BEBE","6ix9ine","1403055","https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C","2018-11-26"
